timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,89.6100,91.5300,88.4300,91.3600,91.3600,3465436,0.0000,1.0000
2019-01-17,86.5100,88.8500,85.4400,88.8100,88.8100,2562998,0.0000,1.0000
2019-01-16,87.6000,88.5200,86.8900,87.0000,87.0000,1667126,0.0000,1.0000
2019-01-15,87.6600,88.5400,87.0067,87.6100,87.6100,1960489,0.0000,1.0000
2019-01-14,88.6800,88.9900,87.3600,87.5000,87.5000,2239285,0.0000,1.0000
2019-01-11,88.0700,91.1100,88.0700,90.0600,90.0600,3029782,0.0000,1.0000
2019-01-10,86.8900,88.6600,86.5700,88.6100,88.6100,2042362,0.0000,1.0000
2019-01-09,85.8200,88.5000,85.8200,87.4000,87.4000,3321565,0.0000,1.0000
2019-01-08,84.2700,85.2800,82.6700,85.2400,85.2400,3993489,0.0000,1.0000
2019-01-07,82.5400,84.1900,82.0800,83.2100,83.2100,2656324,0.0000,1.0000
2019-01-04,81.4600,83.0100,80.4600,82.6900,82.6900,3470021,0.0000,1.0000
2019-01-03,82.9900,84.3500,80.5500,80.7300,80.7300,4376622,0.0000,1.0000
2019-01-02,84.0300,86.4300,83.9600,85.9200,85.9200,2524098,0.0000,1.0000
2018-12-31,86.0900,86.5400,84.9700,85.8300,85.8300,1748374,0.0000,1.0000
2018-12-28,85.4900,86.9000,84.4300,85.4600,85.4600,2070730,0.0000,1.0000
2018-12-27,83.2600,85.4300,81.8573,85.3600,85.3600,2070255,0.0000,1.0000
2018-12-26,81.1900,84.4300,80.0800,84.3400,84.3400,2519007,0.0000,1.0000
2018-12-24,82.1100,82.9100,80.3600,80.4200,80.4200,1353267,0.0000,1.0000
2018-12-21,83.4100,85.1100,81.9400,82.3200,82.3200,5189039,0.0000,1.0000
2018-12-20,83.2400,84.5500,81.5300,82.7400,82.7400,3555429,0.0000,1.0000
2018-12-19,86.7300,87.9200,83.2429,83.6900,83.6900,4216233,0.0000,1.0000
2018-12-18,88.2300,89.3600,87.5000,88.0500,88.0500,2873878,0.0000,1.0000
2018-12-17,87.2500,88.9600,86.7500,87.3100,87.3100,2933798,0.0000,1.0000
2018-12-14,87.4800,88.3900,86.9700,87.2700,87.2700,2947820,0.0000,1.0000
2018-12-13,89.6700,89.9900,88.0800,88.4600,88.4600,1668358,0.0000,1.0000
2018-12-12,90.5200,90.5200,89.0000,89.0800,89.0800,2300987,0.0000,1.0000
2018-12-11,89.9100,91.0400,88.2800,88.6400,88.6400,2094321,0.0000,1.0000
