timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,43.1200,43.3000,42.8300,43.0200,43.0200,9958830,0.0000,1.0000
2018-08-30,42.9000,43.5000,42.8900,43.1400,43.1400,10122318,0.0000,1.0000
2018-08-29,43.3100,43.3800,42.8601,43.1000,43.1000,14226359,0.0000,1.0000
2018-08-28,43.2300,43.6400,42.9500,43.4000,43.4000,13190538,0.0000,1.0000
2018-08-27,42.9600,44.2000,42.7500,43.7500,43.7500,12581324,0.0000,1.0000
2018-08-24,42.8400,43.0600,42.5200,42.7300,42.7300,8294746,0.0000,1.0000
2018-08-23,42.8100,43.3000,42.6500,42.7900,42.7900,9504400,0.0000,1.0000
2018-08-22,43.5200,43.5544,42.9700,42.9900,42.9900,11214269,0.2000,1.0000
2018-08-21,43.3400,44.2300,42.8500,43.7600,43.5574,15570841,0.0000,1.0000
2018-08-20,43.8000,44.1500,43.0201,43.5300,43.3284,15056137,0.0000,1.0000
2018-08-17,44.7700,44.8200,42.6202,43.7700,43.5673,52584209,0.0000,1.0000
2018-08-16,47.9900,48.2300,47.1500,47.4300,47.2104,13733112,0.0000,1.0000
2018-08-15,47.8500,48.1000,47.1700,47.5100,47.2900,10296214,0.0000,1.0000
2018-08-14,48.4200,48.8900,48.2300,48.3800,48.1560,6879794,0.0000,1.0000
2018-08-13,48.0600,48.6000,47.6600,48.2500,48.0266,6436616,0.0000,1.0000
2018-08-10,48.1800,48.6600,47.9050,48.1300,47.9071,8088784,0.0000,1.0000
2018-08-09,48.9600,49.5800,48.1600,49.1600,48.9324,9514932,0.0000,1.0000
2018-08-08,49.6000,50.3900,49.4500,50.1800,49.9476,8459435,0.0000,1.0000
2018-08-07,49.7900,49.9700,49.0800,49.6300,49.4002,7530567,0.0000,1.0000
2018-08-06,49.0800,49.7900,48.9000,49.4800,49.2509,8555009,0.0000,1.0000
2018-08-03,48.1900,48.8600,47.8500,48.8400,48.6138,7032701,0.0000,1.0000
2018-08-02,47.3900,48.8300,47.1100,48.1100,47.8872,9371711,0.0000,1.0000
2018-08-01,48.8900,48.9700,47.7700,47.9700,47.7479,8326592,0.0000,1.0000
2018-07-31,48.3600,49.0600,48.1600,48.6300,48.4048,10816406,0.0000,1.0000
2018-07-30,48.2800,48.4300,47.6100,47.9100,47.6881,9305429,0.0000,1.0000
2018-07-27,48.6300,49.4750,47.8800,48.3000,48.0763,17601085,0.0000,1.0000
2018-07-26,46.0000,47.3050,45.9700,47.1700,46.9516,11637455,0.0000,1.0000
2018-07-25,45.7900,46.0700,45.1315,45.9600,45.7472,9282833,0.0000,1.0000
2018-07-24,46.6100,47.2700,45.8300,45.9100,45.6974,10903345,0.0000,1.0000
2018-07-23,46.3000,46.5400,45.4300,46.4300,46.2150,7364275,0.0000,1.0000
2018-07-20,46.6700,47.0950,46.2100,46.7600,46.5435,7793579,0.0000,1.0000
2018-07-19,47.7100,48.0000,46.5600,46.6700,46.4539,11481075,0.0000,1.0000
2018-07-18,48.9700,49.1500,47.8400,48.2800,48.0564,15309263,0.0000,1.0000
2018-07-17,45.9500,47.4600,45.9500,47.3000,47.0810,9692752,0.0000,1.0000
2018-07-16,46.0400,46.6600,45.9600,46.3100,46.0956,7228530,0.0000,1.0000
2018-07-13,45.5900,46.2300,45.5000,46.1300,45.9164,6349696,0.0000,1.0000
2018-07-12,45.3400,45.8900,45.3400,45.6800,45.4685,9735426,0.0000,1.0000
2018-07-11,46.0500,46.2160,44.9800,45.2000,44.9907,13332963,0.0000,1.0000
2018-07-10,46.5300,46.9200,46.2600,46.7400,46.5236,8801991,0.0000,1.0000
2018-07-09,46.2600,46.6500,45.5150,46.5200,46.3046,9727704,0.0000,1.0000
2018-07-06,45.4600,46.2200,44.8900,46.1300,45.9164,11467621,0.0000,1.0000
2018-07-05,45.4100,45.6800,44.9850,45.4400,45.2296,8950714,0.0000,1.0000
2018-07-03,45.7600,45.8800,44.7400,44.8000,44.5925,7538522,0.0000,1.0000
2018-07-02,45.1000,45.7100,44.9200,45.6800,45.4685,11042942,0.0000,1.0000
2018-06-29,45.7300,46.8150,45.6900,46.1900,45.9761,15112231,0.0000,1.0000
2018-06-28,44.9600,45.4900,44.5700,45.2900,45.0803,13760424,0.0000,1.0000
2018-06-27,46.9200,47.1900,45.2000,45.2500,45.0405,14900221,0.0000,1.0000
2018-06-26,47.1600,47.3000,46.5550,46.6700,46.4539,14748320,0.0000,1.0000
2018-06-25,47.0000,47.3250,46.0833,46.7100,46.4937,14442793,0.0000,1.0000
2018-06-22,49.4000,49.4000,47.7300,47.9600,47.7379,13200531,0.0000,1.0000
2018-06-21,49.5900,49.7900,48.6648,48.9900,48.7631,13209348,0.0000,1.0000
2018-06-20,48.7500,48.9750,48.1400,48.5800,48.3550,9735853,0.0000,1.0000
2018-06-19,47.5600,48.8100,47.2010,48.5500,48.3252,13586351,0.0000,1.0000
2018-06-18,48.8800,49.0000,48.1500,48.3200,48.0962,13780941,0.0000,1.0000
2018-06-15,49.1600,49.7000,48.7600,49.3100,49.0817,23243800,0.0000,1.0000
2018-06-14,50.9900,51.0400,49.6200,49.6900,49.4599,16482523,0.0000,1.0000
2018-06-13,50.3000,51.5900,50.2500,50.9800,50.7439,17174088,0.0000,1.0000
2018-06-12,50.0700,50.8750,49.8300,50.8600,50.6245,17236772,0.0000,1.0000
2018-06-11,51.2000,51.2200,49.5648,49.8900,49.6590,18725485,0.0000,1.0000
2018-06-08,50.4100,51.2150,50.2300,51.1500,50.9131,9954442,0.0000,1.0000
2018-06-07,51.6100,51.8200,50.4000,51.2500,51.0127,16868964,0.0000,1.0000
2018-06-06,52.9300,52.9300,52.1100,52.5300,52.2867,10027147,0.0000,1.0000
