timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,70.0200,70.9700,69.5600,70.5000,70.5000,7571039,0.0000,1.0000
2018-08-08,70.0700,70.5500,69.2700,70.0100,70.0100,6922753,0.0000,1.0000
2018-08-07,70.5700,71.6650,69.8700,70.2300,70.2300,7887262,0.0000,1.0000
2018-08-06,71.1600,71.6100,70.4600,70.5700,70.5700,6394839,0.0000,1.0000
2018-08-03,74.5000,75.2500,70.7300,71.3200,71.3200,12700409,0.0000,1.0000
2018-08-02,73.6500,74.1590,72.5500,74.0600,74.0600,6621504,0.0000,1.0000
2018-08-01,73.7700,74.5800,72.9200,73.0800,73.0800,6069913,0.0000,1.0000
2018-07-31,72.9100,74.2900,72.5150,73.4200,73.4200,6373210,0.0000,1.0000
2018-07-30,75.3700,75.4800,71.7900,72.7500,72.7500,8907262,0.0000,1.0000
2018-07-27,77.0800,77.5744,74.6700,75.3600,75.3600,6078060,0.0000,1.0000
2018-07-26,79.3900,79.6200,77.4600,77.6500,77.6500,6181268,0.0000,1.0000
2018-07-25,78.6000,79.7400,78.3200,79.4500,79.4500,4485324,0.0000,1.0000
2018-07-24,80.1000,80.2000,77.9600,78.4100,78.4100,4762871,0.0000,1.0000
2018-07-23,79.5000,80.0000,78.8200,79.7500,79.7500,3253602,0.0000,1.0000
2018-07-20,80.9400,80.9550,79.5500,79.6500,79.6500,5664687,0.0000,1.0000
2018-07-19,81.0200,81.1900,80.1900,80.6100,80.6100,3541198,0.0000,1.0000
2018-07-18,80.7500,81.4700,80.3950,81.2700,81.2700,5273739,0.0000,1.0000
2018-07-17,79.1600,81.1600,77.5500,80.9500,80.9500,4862800,0.0000,1.0000
2018-07-16,81.6100,81.6400,80.1000,80.2300,80.2300,4153266,0.0000,1.0000
2018-07-13,81.4000,81.6400,79.9210,81.5000,81.5000,4550940,0.0000,1.0000
2018-07-12,79.2900,81.4600,78.6700,81.3700,81.3700,8698509,0.0000,1.0000
2018-07-11,75.3500,79.3631,75.3500,78.6100,78.6100,8191922,0.0000,1.0000
2018-07-10,77.0000,77.0700,75.6749,76.1900,76.1900,2944703,0.0000,1.0000
2018-07-09,77.7000,77.9900,75.9300,76.8400,76.8400,4518442,0.0000,1.0000
2018-07-06,76.2000,77.4800,76.0200,77.1900,77.1900,2954209,0.0000,1.0000
2018-07-05,76.5100,76.8100,75.6850,76.1900,76.1900,7998765,0.0000,1.0000
2018-07-03,77.6800,77.6800,75.7200,75.8800,75.8800,2028270,0.0000,1.0000
2018-07-02,75.3600,77.3250,75.0000,77.2800,77.2800,3324929,0.0000,1.0000
2018-06-29,76.4400,77.2400,76.0800,76.3200,76.3200,5072620,0.0000,1.0000
2018-06-28,74.0000,76.1900,73.6600,76.0100,76.0100,4755234,0.0000,1.0000
2018-06-27,75.7700,75.8900,73.4000,73.4200,73.4200,4497366,0.0000,1.0000
2018-06-26,75.3200,76.4200,74.4300,75.2700,75.2700,4865448,0.0000,1.0000
2018-06-25,75.1900,75.4000,74.1400,74.7000,74.7000,5390769,0.0000,1.0000
2018-06-22,76.4600,76.5600,75.2150,75.9800,75.9800,3978784,0.0000,1.0000
2018-06-21,77.1700,77.9054,75.3100,76.0500,76.0500,4233816,0.0000,1.0000
2018-06-20,77.2500,77.6700,76.7800,76.8400,76.8400,3566053,0.0000,1.0000
2018-06-19,76.6400,77.3000,75.6550,77.2400,77.2400,3735314,0.0000,1.0000
2018-06-18,77.0200,77.9300,76.4700,77.8700,77.8700,3993044,0.0000,1.0000
2018-06-15,77.6600,77.8300,76.3700,77.4100,77.4100,6596147,0.0000,1.0000
2018-06-14,76.8300,79.2500,76.8000,77.7100,77.7100,6717555,0.0000,1.0000
2018-06-13,76.0400,77.5200,75.7000,76.6700,76.6700,8634789,0.0000,1.0000
2018-06-12,75.2300,76.0400,74.7910,75.9400,75.9400,4311531,0.0000,1.0000
2018-06-11,74.2500,75.5300,74.2250,75.0000,75.0000,5108047,0.0000,1.0000
2018-06-08,73.4500,74.8300,73.4500,74.2900,74.2900,4672568,0.0000,1.0000
2018-06-07,74.7900,75.2800,73.0800,73.9500,73.9500,4686510,0.0000,1.0000
2018-06-06,73.2600,75.0100,73.2600,74.7900,74.7900,6638541,0.0000,1.0000
2018-06-05,72.7900,73.3500,72.1900,72.7700,72.7700,5354048,0.0000,1.0000
2018-06-04,73.2500,73.8600,72.6600,72.7900,72.7900,4134504,0.0000,1.0000
2018-06-01,71.4200,73.2100,70.7700,73.0300,73.0300,6388352,0.0000,1.0000
2018-05-31,70.8300,72.2800,70.6900,70.9100,70.9100,6050285,0.0000,1.0000
2018-05-30,70.9200,71.2100,70.5100,70.6900,70.6900,4093806,0.0000,1.0000
2018-05-29,70.8000,71.1900,69.8700,70.6400,70.6400,4855943,0.0000,1.0000
2018-05-25,70.6600,71.8100,70.6000,71.4600,71.4600,3705573,0.0000,1.0000
2018-05-24,71.7500,71.9400,70.0500,70.8000,70.8000,5526004,0.0000,1.0000
2018-05-23,70.7300,71.8050,70.5500,71.7400,71.7400,3809449,0.0000,1.0000
2018-05-22,71.9500,72.5700,71.2300,71.3500,71.3500,4008827,0.0000,1.0000
2018-05-21,72.5000,73.5000,71.1900,71.4500,71.4500,6392087,0.0000,1.0000
2018-05-18,71.5200,72.1400,71.0500,71.9900,71.9900,5673341,0.0000,1.0000
2018-05-17,70.3000,71.9000,70.1100,71.6600,71.6600,6447396,0.0000,1.0000
2018-05-16,71.1300,71.9400,70.1000,70.3300,70.3300,5029462,0.0000,1.0000
