timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-06,35.5900,35.7600,35.2900,35.3200,35.3200,12087401,0.0000,1.0000
2018-08-03,34.9400,35.4300,34.7300,35.4100,35.4100,16485838,0.0000,1.0000
2018-08-02,35.1700,35.2000,34.6150,34.6400,34.6400,19240326,0.0000,1.0000
2018-08-01,35.9000,35.9000,35.3200,35.4000,35.4000,20155581,0.0000,1.0000
2018-07-31,35.6500,36.0900,35.5400,35.7800,35.7800,21644303,0.0000,1.0000
2018-07-30,35.0600,35.7000,35.0200,35.4600,35.4600,21883062,0.0000,1.0000
2018-07-27,34.8400,35.6100,34.7600,35.0800,35.0800,22686929,0.0000,1.0000
2018-07-26,34.8400,35.0950,33.7700,34.7500,34.7500,40293012,0.0000,1.0000
2018-07-25,33.3900,33.5200,32.8100,33.4200,33.4200,22060280,0.0000,1.0000
2018-07-24,34.1700,34.2900,33.3500,33.3900,33.3900,21794998,0.0000,1.0000
2018-07-23,34.1600,34.3000,33.8200,34.1700,34.1700,22336108,0.0000,1.0000
2018-07-20,34.7700,34.9500,34.2900,34.3000,34.3000,24621465,0.0000,1.0000
2018-07-19,35.1400,35.2900,34.7400,34.9100,34.9100,41627718,0.0000,1.0000
2018-07-18,34.1200,34.4500,33.9800,34.0400,34.0400,16172586,0.0000,1.0000
2018-07-17,34.7100,34.9150,34.2100,34.2700,34.2700,21119900,0.0000,1.0000
2018-07-16,34.7400,35.2700,34.6500,34.9700,34.9700,22937767,0.0000,1.0000
2018-07-13,34.4000,35.1500,34.4000,34.7000,34.7000,25167345,0.0000,1.0000
2018-07-12,33.6800,34.5700,33.6000,34.5500,34.5500,22374073,0.0000,1.0000
2018-07-11,33.0900,34.1800,33.0300,33.7700,33.7700,33639053,0.0000,1.0000
2018-07-10,33.7100,33.7200,33.1900,33.3400,33.3400,12363308,0.0000,1.0000
2018-07-09,33.7800,33.8000,33.2500,33.5600,33.5600,13664900,0.0000,1.0000
2018-07-06,33.2700,33.6100,33.0000,33.5800,33.5800,11541691,0.0000,1.0000
2018-07-05,33.3800,33.4000,32.9100,33.1200,33.1200,11330265,0.0000,1.0000
2018-07-03,33.2000,33.6100,32.9900,33.0900,33.0900,12660786,0.0000,1.0000
2018-07-02,32.4400,33.2200,32.4200,33.1700,33.1700,17165034,0.1900,1.0000
2018-06-29,32.5100,33.6050,32.5000,32.8100,32.6231,37956584,0.0000,1.0000
2018-06-28,32.4400,32.7000,32.0800,32.6300,32.4442,25199357,0.0000,1.0000
2018-06-27,32.5550,32.9000,32.2900,32.2900,32.1061,28842382,0.0000,1.0000
2018-06-26,33.3093,33.3093,32.6700,32.7800,32.5933,31471274,0.0000,1.0000
2018-06-25,33.8000,34.1100,32.9100,33.1200,32.9314,33063256,0.0000,1.0000
2018-06-22,33.0000,34.1450,32.9100,33.8100,33.6174,105512105,0.0000,1.0000
2018-06-21,33.3500,33.6500,32.6450,32.7900,32.6032,35125560,0.0000,1.0000
2018-06-20,33.3500,33.7150,32.3400,33.3900,33.1998,50020198,0.0000,1.0000
2018-06-19,32.1700,33.0810,32.1700,32.8100,32.6231,29019132,0.0000,1.0000
2018-06-18,33.7899,33.7899,32.5600,32.5800,32.3944,29986154,0.0000,1.0000
2018-06-15,34.3900,34.4000,33.5900,33.8800,33.6870,53138674,0.0000,1.0000
2018-06-14,32.8500,34.0600,32.7700,33.8200,33.6274,42639522,0.0000,1.0000
2018-06-13,31.0300,32.6500,30.9900,32.3200,32.1359,45830056,0.0000,1.0000
2018-06-12,31.9400,32.6150,31.8300,32.3800,32.1956,32994344,0.0000,1.0000
2018-06-11,31.9700,32.4400,31.8800,32.0000,31.8177,25960564,0.0000,1.0000
2018-06-08,31.9800,32.1900,31.8400,32.0800,31.8973,21774954,0.0000,1.0000
2018-06-07,32.4200,32.6600,31.9500,32.0000,31.8177,26415045,0.0000,1.0000
2018-06-06,31.1300,32.4950,30.9600,32.2700,32.0862,33711540,0.0000,1.0000
2018-06-05,31.2600,31.3200,31.0400,31.0800,30.9030,22919941,0.0000,1.0000
2018-06-04,31.3000,31.5100,31.1549,31.2900,31.1118,19434363,0.0000,1.0000
2018-06-01,31.3400,31.4452,31.1200,31.2600,31.0820,18234080,0.0000,1.0000
2018-05-31,31.5500,31.5700,30.6700,31.1800,31.0024,35461973,0.0000,1.0000
2018-05-30,31.6800,31.7000,31.3200,31.4800,31.3007,17408696,0.0000,1.0000
2018-05-29,31.5500,31.8900,31.3750,31.5100,31.3305,19084283,0.0000,1.0000
2018-05-25,31.5900,32.0100,31.5800,31.7500,31.5692,13190257,0.0000,1.0000
2018-05-24,31.7650,32.0500,31.2800,31.6300,31.4499,24034702,0.0000,1.0000
2018-05-23,31.8500,32.2450,31.8000,31.8800,31.6984,27868152,0.0000,1.0000
2018-05-22,32.4100,32.7100,32.3100,32.5100,32.3248,13577027,0.0000,1.0000
2018-05-21,32.7700,32.8900,32.2000,32.3400,32.1558,18368432,0.0000,1.0000
2018-05-18,32.4500,32.7552,32.2687,32.7200,32.5336,18067063,0.0000,1.0000
2018-05-17,32.6600,32.8401,32.3800,32.4100,32.2254,23067259,0.0000,1.0000
2018-05-16,32.1300,32.6800,32.0400,32.5500,32.3646,19169804,0.0000,1.0000
2018-05-15,31.9800,32.0350,31.7300,32.0100,31.8277,23990293,0.0000,1.0000
2018-05-14,31.8900,32.2500,31.8050,32.1400,31.9569,19657782,0.0000,1.0000
