timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,48.7200,48.7600,48.3300,48.7400,48.7400,8690898,0.0000,1.0000
2019-01-17,48.1900,48.5850,48.0900,48.3900,48.3900,10981429,0.0000,1.0000
2019-01-16,48.5600,48.6700,48.3200,48.3600,48.3600,10671771,0.0000,1.0000
2019-01-15,48.7600,48.8200,48.4300,48.6000,48.6000,10493968,0.0000,1.0000
2019-01-14,48.5100,48.8500,48.5100,48.6700,48.6700,9200381,0.0000,1.0000
2019-01-11,48.6400,48.9400,48.6000,48.7500,48.7500,7629090,0.0000,1.0000
2019-01-10,48.5300,48.9600,48.4650,48.8500,48.8500,5456975,0.0000,1.0000
2019-01-09,48.4400,48.8850,48.4000,48.7800,48.7800,6087488,0.0000,1.0000
2019-01-08,48.5000,48.7100,48.3300,48.6100,48.6100,7530246,0.0000,1.0000
2019-01-07,47.9500,48.3200,47.8100,48.1800,48.1800,5502036,0.0000,1.0000
2019-01-04,47.7100,48.3300,47.5800,48.0600,48.0600,10486951,0.0000,1.0000
2019-01-03,47.6600,47.9200,47.1350,47.4800,47.4800,11035316,0.0000,1.0000
2019-01-02,47.6500,48.0700,47.5800,47.7900,47.7900,7061589,0.0000,1.0000
2018-12-31,48.1400,48.3200,47.6500,48.1200,48.1200,4670776,0.0000,1.0000
2018-12-28,48.1700,48.5000,47.7000,47.9700,47.9700,6440625,0.0000,1.0000
2018-12-27,47.3300,48.1000,47.0500,48.0100,48.0100,7537448,0.0000,1.0000
2018-12-26,46.5800,47.8800,46.5200,47.8600,47.8600,9231752,0.0000,1.0000
2018-12-24,47.0000,47.1900,46.3300,46.3500,46.3500,5719958,0.0000,1.0000
2018-12-21,48.0800,48.4600,46.8300,46.9000,46.9000,19204141,0.0000,1.0000
2018-12-20,48.5200,48.6550,47.6900,48.0000,48.0000,15912375,0.0000,1.0000
2018-12-19,48.9300,49.3600,48.3000,48.5200,48.5200,15083659,0.0000,1.0000
2018-12-18,49.0600,49.1400,48.5500,48.7800,48.7800,11204984,0.0000,1.0000
2018-12-17,49.0800,49.3250,48.7700,48.9500,48.9500,11907247,0.0000,1.0000
2018-12-14,48.9000,49.3400,48.9000,49.0600,49.0600,10875390,0.0000,1.0000
2018-12-13,49.2500,49.3700,49.0800,49.1400,49.1400,12256075,0.0000,1.0000
2018-12-12,49.5900,49.6100,49.0550,49.1300,49.1300,13710477,0.0000,1.0000
2018-12-11,49.6400,49.6600,49.1900,49.2400,49.2400,6527391,0.0000,1.0000
2018-12-10,49.2100,49.4100,48.9300,49.3500,49.3500,10856853,0.0000,1.0000
2018-12-07,49.4100,49.5250,49.1500,49.2600,49.2600,12879574,0.0000,1.0000
2018-12-06,49.0200,49.5000,48.9450,49.5000,49.5000,14145094,0.0000,1.0000
2018-12-04,49.6900,49.7300,48.9000,49.1200,49.1200,18515921,0.0000,1.0000
2018-12-03,49.5000,49.7200,49.1700,49.6600,49.6600,20824645,0.0000,1.0000
