timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,77.0300,78.6200,76.9200,78.0400,78.0400,5605748,0.0000,1.0000
2018-08-08,78.1900,78.3800,76.8300,76.9100,76.9100,4400678,0.0000,1.0000
2018-08-07,77.9400,78.5543,77.5200,78.3800,78.3800,5759148,0.0000,1.0000
2018-08-06,77.8400,78.2400,77.2600,77.8700,77.8700,3955142,0.0000,1.0000
2018-08-03,77.6800,77.9500,77.1700,77.9300,77.9300,4628837,0.0000,1.0000
2018-08-02,77.6900,78.1600,76.8600,77.6300,77.6300,5629355,0.0000,1.0000
2018-08-01,77.5000,78.3500,77.3800,77.9000,77.9000,4246235,0.0000,1.0000
2018-07-31,76.5900,78.0800,76.1900,77.8300,77.8300,6615109,0.0000,1.0000
2018-07-30,76.4700,76.9600,75.8400,76.3200,76.3200,5721162,0.0000,1.0000
2018-07-27,78.1300,78.9500,76.6300,76.8100,76.8100,9455897,0.0000,1.0000
2018-07-26,77.7700,79.0400,76.1000,78.1600,78.1600,14492540,0.0000,1.0000
2018-07-25,77.4700,79.0000,77.2900,78.9200,78.9200,8011924,0.0000,1.0000
2018-07-24,77.7500,78.5900,77.4000,77.6500,77.6500,8686488,0.0000,1.0000
2018-07-23,77.0900,77.9400,76.9600,77.3800,77.3800,5119847,0.0000,1.0000
2018-07-20,76.3610,77.7000,76.3610,77.3700,77.3700,5804302,0.0000,1.0000
2018-07-19,76.9900,77.7297,76.0800,77.0500,77.0500,6488439,0.0000,1.0000
2018-07-18,77.0900,77.7800,76.8200,77.1200,77.1200,5186798,0.0000,1.0000
2018-07-17,77.1100,77.7600,76.9300,77.2000,77.2000,4424705,0.0000,1.0000
2018-07-16,77.5800,77.8500,76.7300,77.2600,77.2600,3093460,0.0000,1.0000
2018-07-13,77.4000,77.8900,77.0350,77.3800,77.3800,4035933,0.0000,1.0000
2018-07-12,76.5600,78.1700,75.9300,77.6000,77.6000,8956340,0.0000,1.0000
2018-07-11,76.5000,76.6600,75.6900,76.0200,76.0200,6138750,0.0000,1.0000
2018-07-10,77.0300,77.4400,76.2400,76.7500,76.7500,8380796,0.0000,1.0000
2018-07-09,75.4500,77.1900,75.2100,76.6400,76.6400,8546543,0.0000,1.0000
2018-07-06,73.2000,75.4400,73.0000,75.2100,75.2100,8859846,0.0000,1.0000
2018-07-05,71.3400,72.8890,71.2850,72.8100,72.8100,5755437,0.0000,1.0000
2018-07-03,71.4000,71.9399,71.0950,71.3300,71.3300,3147727,0.0000,1.0000
2018-07-02,70.7000,71.3800,70.3000,71.2800,71.2800,4086705,0.0000,1.0000
2018-06-29,70.4800,71.5000,70.2900,70.8400,70.8400,6215662,0.0000,1.0000
2018-06-28,69.8500,70.5000,69.0800,70.3300,70.3300,7977129,0.0000,1.0000
2018-06-27,70.3400,70.7800,68.6000,68.6400,68.6400,5818576,0.0000,1.0000
2018-06-26,71.2600,72.0700,69.7100,70.2500,70.2500,6538329,0.0000,1.0000
2018-06-25,70.7200,71.6362,70.5450,71.1400,71.1400,6019490,0.0000,1.0000
2018-06-22,71.6900,71.7600,70.8300,71.0700,71.0700,6118885,0.0000,1.0000
2018-06-21,71.4700,71.6900,70.7800,71.5200,71.5200,6548370,0.0000,1.0000
2018-06-20,70.9600,71.5700,70.3500,71.4600,71.4600,6010621,0.0000,1.0000
2018-06-19,68.4600,70.9898,68.1600,70.9400,70.9400,8634030,0.0000,1.0000
2018-06-18,69.7700,69.9445,68.9166,69.0600,69.0600,6568588,0.0000,1.0000
2018-06-15,71.1000,71.4100,69.9100,70.2300,70.2300,11517991,0.0000,1.0000
2018-06-14,71.0000,71.6200,70.5100,71.1500,71.1500,5226297,0.5700,1.0000
2018-06-13,71.9000,71.9800,71.0000,71.2900,70.7234,5076991,0.0000,1.0000
2018-06-12,71.7600,71.9800,70.9900,71.6800,71.1103,6977477,0.0000,1.0000
2018-06-11,71.7900,72.0000,71.1100,71.8300,71.2591,5425535,0.0000,1.0000
2018-06-08,71.4500,72.2775,71.3500,71.9100,71.3385,5843133,0.0000,1.0000
2018-06-07,71.8800,71.9500,71.1000,71.9000,71.3286,7604854,0.0000,1.0000
2018-06-06,70.1700,71.9700,69.6900,71.9700,71.3980,12376631,0.0000,1.0000
2018-06-05,70.2500,70.7300,69.2745,70.0600,69.5032,7821156,0.0000,1.0000
2018-06-04,68.1900,70.8000,67.9500,70.2100,69.6520,11726900,0.0000,1.0000
2018-06-01,67.6200,68.4300,67.5200,68.3000,67.7572,5128621,0.0000,1.0000
2018-05-31,68.1000,68.1500,67.2100,67.4000,66.8643,12447285,0.0000,1.0000
2018-05-30,67.6600,67.7922,67.3100,67.6900,67.1520,5931409,0.0000,1.0000
2018-05-29,67.0000,67.5600,66.7100,67.3300,66.7949,7820160,0.0000,1.0000
2018-05-25,67.6500,67.9300,67.0000,67.3800,66.8445,4864615,0.0000,1.0000
2018-05-24,68.0400,68.2900,67.0800,67.5300,66.9933,4892294,0.0000,1.0000
2018-05-23,67.3600,68.3800,67.3500,68.1700,67.6282,5093159,0.0000,1.0000
2018-05-22,67.9700,68.6900,67.5100,67.8300,67.2909,6210201,0.0000,1.0000
2018-05-21,68.1500,68.5700,67.2500,67.6300,67.0925,6006526,0.0000,1.0000
2018-05-18,67.5900,68.4900,67.3400,68.0200,67.4794,6336367,0.0000,1.0000
2018-05-17,67.1000,68.1299,67.1000,67.6000,67.0627,5946194,0.0000,1.0000
2018-05-16,67.0000,67.9800,67.0000,67.5500,67.0131,6603000,0.0000,1.0000
2018-05-15,66.8000,67.5600,66.6417,66.9900,66.4576,7483526,0.0000,1.0000
2018-05-14,66.3600,67.6800,66.1900,67.0500,66.5171,6173683,0.0000,1.0000
2018-05-11,65.2200,66.7500,64.8400,66.1600,65.6342,10014066,0.0000,1.0000
2018-05-10,66.0100,66.1000,65.2100,65.3700,64.8505,6614209,0.0000,1.0000
