timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,117.4600,118.1500,116.6225,116.7700,116.7700,984215,0.0000,1.0000
2018-08-08,118.1300,119.1900,115.6200,118.1700,118.1700,1241207,0.0000,1.0000
2018-08-07,118.3300,119.1500,117.0600,118.1600,118.1600,1414313,0.0000,1.0000
2018-08-06,118.8700,119.3348,117.8600,118.2700,118.2700,1151741,0.0000,1.0000
2018-08-03,118.4500,119.7000,117.2900,119.5900,119.5900,1247949,0.0000,1.0000
2018-08-02,115.3100,118.7100,114.5000,118.4700,118.4700,1623379,0.0000,1.0000
2018-08-01,117.7600,119.1700,116.2400,116.7100,116.7100,1839088,0.0000,1.0000
2018-07-31,111.8900,122.4000,111.6000,117.4200,117.4200,4868324,0.0000,1.0000
2018-07-30,107.3200,108.0300,105.4200,106.3000,106.3000,1863505,0.0000,1.0000
2018-07-27,105.8200,108.9300,105.6100,107.5700,107.5700,1419196,0.0000,1.0000
2018-07-26,104.4600,105.9100,104.2500,105.2300,105.2300,1549046,0.0000,1.0000
2018-07-25,103.9500,104.5200,101.4200,104.4400,104.4400,1564204,0.0000,1.0000
2018-07-24,107.6700,108.6000,103.6700,103.9500,103.9500,1688413,0.0000,1.0000
2018-07-23,106.7200,107.3100,104.6800,106.9400,106.9400,852919,0.0000,1.0000
2018-07-20,108.0100,108.0100,106.4500,106.9200,106.9200,1105768,0.0000,1.0000
2018-07-19,109.2100,109.7800,107.0700,108.4900,108.4900,1314783,0.0000,1.0000
2018-07-18,107.6200,110.8200,107.4500,110.2300,110.2300,1753335,0.0000,1.0000
2018-07-17,103.6200,106.0400,103.6200,105.8900,105.8900,2037756,0.0000,1.0000
2018-07-16,104.7000,104.7150,103.9600,104.1600,104.1600,903912,0.0000,1.0000
2018-07-13,104.5900,105.0700,104.1400,104.8600,104.8600,606876,0.0000,1.0000
2018-07-12,104.0600,104.8200,103.4900,104.5500,104.5500,1363379,0.0000,1.0000
2018-07-11,105.4000,106.4291,103.0250,103.2600,103.2600,1120403,0.0000,1.0000
2018-07-10,106.6100,107.0200,105.5800,106.0600,106.0600,1086630,0.0000,1.0000
2018-07-09,105.1100,105.9900,104.2800,105.9600,105.9600,769954,0.0000,1.0000
2018-07-06,103.1700,105.0000,102.2500,104.8700,104.8700,676312,0.0000,1.0000
2018-07-05,102.6100,103.5000,101.7500,103.4300,103.4300,1031482,0.0000,1.0000
2018-07-03,103.8600,103.8600,101.4500,101.6000,101.6000,803832,0.0000,1.0000
2018-07-02,101.2800,103.8700,100.3600,103.8000,103.8000,1366009,0.0000,1.0000
2018-06-29,102.4300,103.9700,102.0800,102.5300,102.5300,1727626,0.0000,1.0000
2018-06-28,100.5300,101.8900,99.8400,101.8100,101.8100,1564223,0.0000,1.0000
2018-06-27,104.8100,105.0900,100.5700,100.6400,100.6400,1469026,0.0000,1.0000
2018-06-26,105.1100,105.6100,103.7600,104.5900,104.5900,1492583,0.0000,1.0000
2018-06-25,105.4300,105.4300,101.7400,104.1400,104.1400,2198886,0.0000,1.0000
2018-06-22,107.1100,108.9600,105.2900,106.5600,106.5600,2896037,0.0000,1.0000
2018-06-21,110.4300,111.3200,109.6200,110.3100,110.3100,1142202,0.0000,1.0000
2018-06-20,111.0700,111.7772,109.3200,109.7700,109.7700,1202060,0.0000,1.0000
2018-06-19,110.4200,111.2800,109.1400,110.5800,110.5800,1080035,0.0000,1.0000
2018-06-18,111.8300,112.3900,109.8300,112.0500,112.0500,1202039,0.0000,1.0000
2018-06-15,113.1600,113.1600,111.3100,112.8400,112.8400,1728023,0.0000,1.0000
