timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,143.2900,149.8800,143.1000,147.5500,147.5500,3775948,0.0000,1.0000
2019-01-17,137.9700,141.9500,136.6500,141.7600,141.7600,1844614,0.0000,1.0000
2019-01-16,140.1400,141.7500,138.6400,138.7500,138.7500,1912381,0.0000,1.0000
2019-01-15,141.3200,142.3600,138.8800,140.0000,140.0000,1453894,0.0000,1.0000
2019-01-14,142.2500,142.3200,138.6300,140.4300,140.4300,3239073,0.0000,1.0000
2019-01-11,143.9500,147.0700,142.9000,144.1100,144.1100,2281356,0.0000,1.0000
2019-01-10,143.0900,145.5700,141.3900,144.5700,144.5700,2009414,0.0000,1.0000
2019-01-09,138.7100,144.6700,138.2800,144.0000,144.0000,3336666,0.0000,1.0000
2019-01-08,140.2300,140.4700,133.3600,136.9300,136.9300,2746335,0.0000,1.0000
2019-01-07,138.4700,141.0700,137.3900,139.2900,139.2900,1393997,0.0000,1.0000
2019-01-04,134.0900,138.2400,133.3500,138.0600,138.0600,2127000,0.0000,1.0000
2019-01-03,135.2000,136.3500,131.3500,131.6300,131.6300,2111106,0.0000,1.0000
2019-01-02,133.4600,139.6450,133.4000,138.3000,138.3000,1712561,0.0000,1.0000
2018-12-31,136.7800,137.9000,134.3100,136.1700,136.1700,1597317,0.0000,1.0000
2018-12-28,133.6000,138.0400,133.3250,135.4200,135.4200,2286803,0.0000,1.0000
2018-12-27,127.9100,133.2900,127.5100,133.2800,133.2800,1813720,0.0000,1.0000
2018-12-26,124.9700,130.9400,122.6400,130.8400,130.8400,3239150,0.0000,1.0000
2018-12-24,126.5700,127.4200,123.2200,123.2800,123.2800,1305201,0.0000,1.0000
2018-12-21,129.1100,131.9900,126.7400,127.1600,127.1600,3913144,0.0000,1.0000
2018-12-20,132.1200,132.9500,126.6500,128.3100,128.3100,4369771,0.0000,1.0000
2018-12-19,135.5900,140.4300,129.9300,131.1200,131.1200,3624402,0.0000,1.0000
2018-12-18,137.0300,142.3486,136.2800,137.9300,137.9300,2500057,0.0000,1.0000
2018-12-17,135.0300,139.1800,133.9400,135.6800,135.6800,2468018,0.0000,1.0000
2018-12-14,136.1300,137.4700,133.9200,135.3700,135.3700,3384859,0.0000,1.0000
2018-12-13,139.5100,140.5600,137.7300,138.7600,138.7600,1669645,0.0000,1.0000
2018-12-12,141.0700,141.7553,137.4021,138.4500,138.4500,3016910,0.0000,1.0000
2018-12-11,140.4100,144.7700,137.3900,138.2900,138.2900,2213522,0.0000,1.0000
