timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,122.0300,122.9000,120.6100,120.7900,120.7900,3166580,0.0000,1.0000
2018-08-08,124.6100,125.6700,121.5000,121.6300,121.6300,2864636,0.0000,1.0000
2018-08-07,125.3100,126.8300,123.9600,124.4300,124.4300,3859026,0.0000,1.0000
2018-08-06,128.5100,129.5100,127.4000,129.2800,129.2800,2014715,0.0000,1.0000
2018-08-03,129.1100,129.2800,127.5800,128.1900,128.1900,1326507,0.0000,1.0000
2018-08-02,126.7200,129.3200,125.9200,129.1300,129.1300,1513082,0.0000,1.0000
2018-08-01,127.7800,129.1800,126.9700,127.8700,127.8700,2321718,0.0000,1.0000
2018-07-31,126.2100,128.0600,125.7000,127.8400,127.8400,1614446,0.0000,1.0000
2018-07-30,128.2900,128.4700,125.6900,125.9100,125.9100,2040135,0.0000,1.0000
2018-07-27,131.1300,131.8700,128.3400,128.5500,128.5500,2028723,0.0000,1.0000
2018-07-26,132.1700,133.6608,130.7703,130.9700,130.9700,1960497,0.0000,1.0000
2018-07-25,129.0000,131.7300,127.2100,131.5000,131.5000,2717896,0.0000,1.0000
2018-07-24,132.0100,132.3100,128.7700,130.0200,130.0200,3871104,0.0000,1.0000
2018-07-23,133.0500,133.0500,131.8700,132.0300,132.0300,1497791,0.0000,1.0000
2018-07-20,132.9100,134.1200,132.0700,133.0500,133.0500,1529783,0.0000,1.0000
2018-07-19,131.0200,133.4700,131.0200,133.2000,133.2000,1964358,0.0000,1.0000
2018-07-18,130.3600,133.6800,130.1600,133.1300,133.1300,2127714,0.0000,1.0000
2018-07-17,130.1300,130.9400,129.9000,130.4500,130.4500,1224349,0.0000,1.0000
2018-07-16,131.2400,131.4400,130.2600,130.7900,130.7900,1444190,0.0000,1.0000
2018-07-13,130.5400,131.1600,130.4100,131.0100,131.0100,843578,0.0000,1.0000
2018-07-12,130.6800,131.0900,129.3700,130.7700,130.7700,1334980,0.0000,1.0000
2018-07-11,130.0700,130.6300,129.2600,129.8500,129.8500,1831331,0.0000,1.0000
2018-07-10,130.0900,131.4300,130.0900,130.7300,130.7300,2269708,0.0000,1.0000
2018-07-09,129.0800,130.2600,127.9100,130.1600,130.1600,2635437,0.0000,1.0000
2018-07-06,126.7100,127.9600,125.8400,127.6600,127.6600,1435468,0.0000,1.0000
2018-07-05,125.0600,126.7100,125.0600,126.4900,126.4900,1982623,0.0000,1.0000
2018-07-03,127.0600,127.5400,124.3400,124.5200,124.5200,1345846,0.0000,1.0000
2018-07-02,125.5700,126.9200,125.0000,126.4900,126.4900,1681299,0.0000,1.0000
2018-06-29,125.3800,127.5500,125.2500,126.6000,126.6000,2022810,0.0000,1.0000
2018-06-28,127.0400,127.2900,124.2200,125.2600,125.2600,2073606,0.0000,1.0000
2018-06-27,129.5600,130.7700,126.7000,126.9400,126.9400,2284817,0.0000,1.0000
2018-06-26,129.4500,130.1400,128.9600,129.4300,129.4300,1748818,0.0000,1.0000
2018-06-25,131.4700,131.9900,128.6600,129.1000,129.1000,2432145,0.0000,1.0000
2018-06-22,133.9500,134.3100,132.4800,132.6100,132.6100,1813937,0.0000,1.0000
2018-06-21,135.7900,135.9900,133.4200,133.7300,133.7300,1684111,0.0000,1.0000
2018-06-20,136.7500,138.2200,135.8300,135.9900,135.9900,1794920,0.0000,1.0000
2018-06-19,137.1400,137.5200,135.5000,136.5800,136.5800,1364059,0.0000,1.0000
2018-06-18,137.8200,138.8600,137.5010,138.6700,138.6700,826478,0.0000,1.0000
2018-06-15,139.0000,139.1900,137.2200,138.8300,138.8300,2321156,0.0000,1.0000
2018-06-14,138.7000,139.3900,138.1500,138.7500,138.7500,1216094,0.0000,1.0000
2018-06-13,140.0000,140.4800,137.7600,138.3500,138.3500,1662692,0.0000,1.0000
2018-06-12,139.5600,140.4200,139.2400,139.8600,139.8600,1354205,0.0000,1.0000
2018-06-11,138.0400,139.8400,137.7450,139.1400,139.1400,1809825,0.0000,1.0000
2018-06-08,139.4800,139.6200,137.9400,138.3800,138.3800,1609216,0.0000,1.0000
2018-06-07,141.6600,142.1896,139.0100,139.4400,139.4400,1622736,0.0000,1.0000
2018-06-06,137.9700,141.7200,137.7000,141.5700,141.5700,2113466,0.0000,1.0000
2018-06-05,138.5000,139.8399,137.8400,138.2200,138.2200,1334011,0.0000,1.0000
2018-06-04,138.8200,138.9900,137.4100,138.6900,138.6900,1277663,0.0000,1.0000
2018-06-01,136.5800,138.9900,135.7100,138.3400,138.3400,1558520,0.0000,1.0000
2018-05-31,136.3200,136.7500,134.6600,135.3600,135.3600,2316286,0.0000,1.0000
2018-05-30,135.0200,136.9400,134.6000,136.2700,136.2700,1271711,0.0000,1.0000
2018-05-29,136.3200,136.8600,134.0700,134.5500,134.5500,2011712,0.0000,1.0000
2018-05-25,137.8100,139.1800,137.2700,137.9700,137.9700,1396668,0.0000,1.0000
2018-05-24,137.4300,138.3650,137.2500,137.8700,137.8700,1504303,0.0000,1.0000
2018-05-23,136.7600,137.8400,136.7600,137.5900,137.5900,1061330,0.0000,1.0000
2018-05-22,139.3900,139.3900,137.5000,137.7800,137.7800,1099409,0.0000,1.0000
2018-05-21,138.8800,139.8400,137.9800,138.8000,138.8000,1124303,0.0000,1.0000
2018-05-18,139.4700,139.4700,137.7200,138.5200,138.5200,1444562,0.0000,1.0000
2018-05-17,139.8900,140.0100,138.0500,138.2900,138.2900,1894560,0.4100,1.0000
2018-05-16,139.2100,141.6100,138.6100,140.4400,140.0249,1620222,0.0000,1.0000
2018-05-15,139.0000,139.1400,137.8400,138.8600,138.4495,1492672,0.0000,1.0000
2018-05-14,139.9100,140.2792,138.9600,139.3500,138.9381,1845416,0.0000,1.0000
2018-05-11,138.8800,140.1100,138.1800,139.8200,139.4067,1509102,0.0000,1.0000
2018-05-10,138.1200,138.9900,137.3950,138.5700,138.1604,2114771,0.0000,1.0000
2018-05-09,138.4300,139.1655,134.2450,137.9000,137.4924,3999747,0.0000,1.0000
2018-05-08,136.5300,139.4500,136.0000,139.3100,138.8982,3771084,0.0000,1.0000
2018-05-07,136.5800,137.2500,135.8500,136.6400,136.2361,2331085,0.0000,1.0000
2018-05-04,133.9200,137.0600,133.1800,135.8500,135.4484,2832772,0.0000,1.0000
2018-05-03,133.4000,135.1900,130.7200,134.6400,134.2420,2474517,0.0000,1.0000
2018-05-02,137.1200,137.7200,134.0100,134.1600,133.7634,2324271,0.0000,1.0000
2018-05-01,136.1900,137.7600,135.4900,137.6000,137.1933,1046617,0.0000,1.0000
2018-04-30,138.1200,139.4800,136.4701,136.6800,136.2760,1115099,0.0000,1.0000
2018-04-27,137.2800,139.0000,136.5600,137.4200,137.0138,1112751,0.0000,1.0000
