timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,277.0000,281.2000,276.6000,280.6800,280.6800,7647206,0.0000,1.0000
2018-08-30,277.2300,281.7170,276.3200,277.8100,277.8100,8665230,0.0000,1.0000
2018-08-29,273.9200,279.5000,273.0800,278.4900,278.4900,10502741,0.1500,1.0000
2018-08-28,275.6600,276.5800,269.5300,274.3800,274.2323,11884595,0.0000,1.0000
2018-08-27,273.4200,278.9000,272.1450,275.9000,275.7515,12644437,0.0000,1.0000
2018-08-24,267.1800,272.8100,267.0000,272.2200,272.0735,13287762,0.0000,1.0000
2018-08-23,261.2600,269.4800,260.7012,266.8400,266.6964,18017114,0.0000,1.0000
2018-08-22,252.0000,263.0200,251.8600,262.8200,262.6785,18746422,0.0000,1.0000
2018-08-21,248.5000,253.5000,247.7000,253.3200,253.1836,16849710,0.0000,1.0000
2018-08-20,243.1800,253.2000,238.7200,247.8400,247.7066,21359655,0.0000,1.0000
2018-08-17,252.9400,252.9700,243.7300,244.8200,244.6882,28579694,0.0000,1.0000
2018-08-16,261.9000,262.0000,255.0100,257.4400,257.3014,20031476,0.0000,1.0000
2018-08-15,262.2700,263.6390,255.9000,259.0800,258.9405,14778394,0.0000,1.0000
2018-08-14,260.3800,262.0000,257.0200,261.4300,261.2893,11655486,0.0000,1.0000
2018-08-13,255.1400,261.0000,255.0700,256.1200,255.9821,9380158,0.0000,1.0000
2018-08-10,253.1500,256.1000,252.7000,254.7900,254.6528,6415668,0.0000,1.0000
2018-08-09,259.1400,259.2500,256.1500,256.4600,256.3219,5106962,0.0000,1.0000
2018-08-08,257.0000,260.2400,255.5900,258.4200,258.2809,6552462,0.0000,1.0000
2018-08-07,256.0000,257.7000,254.9201,256.9500,256.8117,6453260,0.0000,1.0000
2018-08-06,251.5900,254.1700,249.7059,254.0300,253.8932,5187665,0.0000,1.0000
2018-08-03,251.6100,253.0600,250.9300,252.1000,251.9643,5357202,0.0000,1.0000
2018-08-02,243.5900,250.7800,241.2100,250.6200,250.4851,6741689,0.0000,1.0000
2018-08-01,246.1300,248.3599,243.8860,246.4700,246.3373,7088889,0.0000,1.0000
2018-07-31,243.7100,247.8800,242.1411,244.8600,244.7282,7099696,0.0000,1.0000
2018-07-30,252.5900,252.8300,242.7200,244.1300,243.9986,8508539,0.0000,1.0000
2018-07-27,256.3200,256.6000,249.8400,252.0200,251.8843,7385535,0.0000,1.0000
2018-07-26,251.0600,256.3300,250.3800,254.8400,254.7028,8128128,0.0000,1.0000
2018-07-25,249.0900,252.3800,246.7500,251.8700,251.7344,8004551,0.0000,1.0000
2018-07-24,251.3500,254.8500,248.0000,248.7100,248.5761,8865545,0.0000,1.0000
2018-07-23,249.8200,249.8900,243.2800,249.4100,249.2757,7539621,0.0000,1.0000
2018-07-20,251.9300,253.5000,250.4500,250.8900,250.7549,5562161,0.0000,1.0000
2018-07-19,250.9400,253.3900,250.3300,252.0300,251.8943,5893783,0.0000,1.0000
2018-07-18,253.3900,253.9500,249.6400,251.7000,251.5645,6941041,0.0000,1.0000
2018-07-17,246.2100,254.3000,245.1800,253.6900,253.5534,9053395,0.0000,1.0000
2018-07-16,248.2000,250.3400,247.7000,248.2000,248.0664,4925926,0.0000,1.0000
2018-07-13,251.9800,251.9800,247.6200,249.3200,249.1858,6179078,0.0000,1.0000
2018-07-12,249.3600,253.1700,248.9600,251.2300,251.0948,8637673,0.0000,1.0000
2018-07-11,249.5000,250.9000,247.1000,247.5300,247.3967,9187660,0.0000,1.0000
2018-07-10,249.7500,254.1400,248.1200,253.2500,253.1137,9000390,0.0000,1.0000
2018-07-09,250.3297,250.7200,246.0707,249.2500,249.1158,7597022,0.0000,1.0000
2018-07-06,241.7400,247.6650,240.8800,247.3300,247.1969,7408822,0.0000,1.0000
2018-07-05,239.0700,242.9300,237.5000,242.7300,242.5993,7655448,0.0000,1.0000
2018-07-03,243.6400,243.8800,236.5000,236.8400,236.7125,5568325,0.0000,1.0000
2018-07-02,234.0900,242.3900,233.2649,242.2400,242.1096,8939348,0.0000,1.0000
2018-06-29,243.4900,244.0000,236.8500,236.9000,236.7725,9807477,0.0000,1.0000
2018-06-28,235.3200,241.3400,235.0100,240.8600,240.7303,8450297,0.0000,1.0000
2018-06-27,243.7500,246.4300,235.5000,235.7200,235.5931,11347303,0.0000,1.0000
2018-06-26,243.7000,245.6500,239.9101,241.9900,241.8597,11972137,0.0000,1.0000
2018-06-25,246.6500,246.8000,235.5400,239.1200,238.9913,16645431,0.0000,1.0000
2018-06-22,257.9500,258.4900,250.3301,250.9500,250.8149,10853954,0.0000,1.0000
2018-06-21,263.6000,264.3400,256.8000,257.1100,256.9716,8987906,0.0000,1.0000
2018-06-20,261.8320,264.4500,260.2808,262.3100,262.1688,9244494,0.0000,1.0000
2018-06-19,260.9200,263.6400,255.0200,260.1700,260.0299,14873324,0.0000,1.0000
2018-06-18,263.4800,265.8000,262.3800,265.0900,264.9473,8906674,0.0000,1.0000
2018-06-15,264.6000,267.4800,263.3484,265.2600,265.1172,10806488,0.0000,1.0000
2018-06-14,264.2200,269.2000,263.6200,266.9100,266.7663,10750411,0.0000,1.0000
2018-06-13,262.6400,265.6700,262.0310,262.4000,262.2587,8455159,0.0000,1.0000
2018-06-12,261.6900,263.0700,259.6600,262.5800,262.4386,7978985,0.0000,1.0000
2018-06-11,261.7700,263.4500,260.1000,260.6200,260.4797,6634253,0.0000,1.0000
2018-06-08,259.9600,264.0000,259.2000,262.2800,262.1388,9011443,0.0000,1.0000
2018-06-07,265.0000,265.4785,259.2500,262.9000,262.7585,9236216,0.0000,1.0000
2018-06-06,261.4300,265.2800,260.7700,265.1500,265.0073,9283856,0.0000,1.0000
2018-06-05,264.9800,266.5900,263.1700,265.0700,264.9273,9792801,0.0000,1.0000
