timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,55.3900,55.9000,54.9900,55.2700,55.2700,26141580,0.0000,1.0000
2019-01-17,54.9700,55.2000,54.3700,54.7700,54.7700,18365047,0.0000,1.0000
2019-01-16,55.7500,56.0800,55.1600,55.2700,55.2700,13856041,0.0000,1.0000
2019-01-15,57.3200,57.4000,55.5600,55.7300,55.7300,17423382,0.0000,1.0000
2019-01-14,57.0200,57.6500,56.3700,57.3000,57.3000,9449417,0.0000,1.0000
2019-01-11,56.4700,58.1700,56.3300,57.5000,57.5000,12024269,0.0000,1.0000
2019-01-10,56.1900,56.9900,56.1000,56.8000,56.8000,10958387,0.0000,1.0000
2019-01-09,56.2600,57.1100,56.1400,56.6100,56.6100,10971426,0.0000,1.0000
2019-01-08,56.7100,56.8800,55.6100,55.9500,55.9500,12109973,0.0000,1.0000
2019-01-07,56.3900,57.1600,55.9450,56.4400,56.4400,12351967,0.0000,1.0000
2019-01-04,56.5000,56.8300,55.2101,56.6000,56.6000,14177270,0.0000,1.0000
2019-01-03,55.9500,56.8400,55.5200,55.7000,55.7000,14422231,0.0000,1.0000
2019-01-02,56.2000,58.0000,55.9200,57.4000,57.4000,9896584,0.0000,1.0000
2018-12-31,57.1200,57.4100,56.2818,56.9100,56.9100,8877184,0.0000,1.0000
2018-12-28,56.3300,57.5300,56.2400,56.8100,56.8100,12749599,0.0000,1.0000
2018-12-27,55.5400,56.3900,54.7700,56.0900,56.0900,15804838,0.0000,1.0000
2018-12-26,54.2500,56.0000,53.5120,55.9600,55.9600,18451560,0.0000,1.0000
2018-12-24,53.7000,54.8900,53.5700,53.6500,53.6500,8274961,0.0000,1.0000
2018-12-21,56.2600,57.2800,54.6900,54.8500,54.8500,38202294,0.0000,1.0000
2018-12-20,57.2200,57.9400,56.0600,56.3700,56.3700,21742329,0.0000,1.0000
2018-12-19,57.5400,58.5000,56.0600,56.6900,56.6900,17376507,0.0000,1.0000
2018-12-18,57.6900,58.5400,57.4000,57.7800,57.7800,12384197,0.0000,1.0000
2018-12-17,57.5900,58.3400,56.6700,57.0000,57.0000,16648217,0.0000,1.0000
2018-12-14,57.5600,59.0000,57.3600,57.6200,57.6200,13551412,0.0000,1.0000
2018-12-13,58.1400,58.3800,57.5600,58.0900,58.0900,8949912,0.0000,1.0000
2018-12-12,58.4400,58.5800,57.5300,57.7200,57.7200,13246546,0.0000,1.0000
2018-12-11,58.4500,58.6600,56.8313,57.3500,57.3500,13116286,0.0000,1.0000
2018-12-10,57.7700,58.2500,56.6400,57.2400,57.2400,20484897,0.0000,1.0000
2018-12-07,56.6100,57.1200,55.7300,55.9900,55.9900,17054650,0.0000,1.0000
