timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,174.5800,175.7300,174.2400,175.2700,175.2700,744420,0.0000,1.0000
2018-08-30,175.8100,176.6300,175.7000,175.8500,175.8500,381866,0.0000,1.0000
2018-08-29,176.2000,177.2900,175.8300,176.5000,176.5000,451080,0.0000,1.0000
2018-08-28,176.8400,177.0100,176.2600,176.5600,176.5600,559809,0.0000,1.0000
2018-08-27,174.3500,176.7600,174.3500,176.3100,176.3100,341128,0.0000,1.0000
2018-08-24,173.9800,174.5500,173.3500,174.1400,174.1400,735386,0.0000,1.0000
2018-08-23,171.0800,171.2250,169.7000,170.4200,170.4200,506428,0.0000,1.0000
2018-08-22,171.6900,172.2050,170.9900,171.8300,171.8300,464525,0.0000,1.0000
2018-08-21,170.6600,171.9500,170.3700,171.4300,171.4300,363190,0.0000,1.0000
2018-08-20,171.1100,171.8650,170.6300,170.6500,170.6500,666896,0.0000,1.0000
2018-08-17,169.8000,170.5800,169.1200,170.4200,170.4200,532083,0.0000,1.0000
2018-08-16,168.5100,171.7000,168.1700,171.5000,171.5000,1190738,0.0000,1.0000
2018-08-15,168.5400,168.6900,167.2700,168.3300,168.3300,742101,0.0000,1.0000
2018-08-14,169.8600,170.0300,168.7650,169.1300,169.1300,560524,0.0000,1.0000
2018-08-13,170.6600,170.8500,169.3800,169.7200,169.7200,388178,0.0000,1.0000
2018-08-10,170.7500,171.9400,170.4700,171.6100,171.6100,777244,0.0000,1.0000
2018-08-09,173.2700,174.3200,172.6600,173.7800,173.7800,341756,0.0000,1.0000
2018-08-08,173.5200,174.0900,172.5100,172.6600,172.6600,599630,0.0000,1.0000
2018-08-07,173.1900,174.5800,172.8800,173.2900,173.2900,418636,0.0000,1.0000
2018-08-06,172.8000,173.4500,172.3700,173.1900,173.1900,226766,0.0000,1.0000
2018-08-03,172.3400,173.7900,171.8900,173.0200,173.0200,398712,0.0000,1.0000
2018-08-02,171.9800,173.0800,171.4300,172.6900,172.6900,890541,0.0000,1.0000
2018-08-01,173.6200,175.9500,172.8600,175.6100,175.6100,1171346,0.0000,1.0000
2018-07-31,172.3200,172.3300,169.7600,170.6100,170.6100,1797781,0.0000,1.0000
2018-07-30,170.9000,170.9600,169.5600,169.7400,169.7400,551941,0.0000,1.0000
