timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,6.1000,6.1600,6.0400,6.0500,6.0500,15918867,0.0000,1.0000
2019-01-17,6.0200,6.0700,5.9900,6.0500,6.0500,15045838,0.0000,1.0000
2019-01-16,5.9800,6.0600,5.9500,6.0200,6.0200,14504743,0.0000,1.0000
2019-01-15,5.9500,6.0000,5.9100,5.9800,5.9800,18586036,0.0000,1.0000
2019-01-14,6.0500,6.0600,5.9150,5.9500,5.9500,20050464,0.0000,1.0000
2019-01-11,6.0700,6.0800,5.9800,6.0700,6.0700,16582267,0.0000,1.0000
2019-01-10,6.0600,6.1000,5.9600,6.0700,6.0700,21134637,0.0000,1.0000
2019-01-09,6.3600,6.3700,6.0000,6.0600,6.0600,43695941,0.0000,1.0000
2019-01-08,6.2600,6.3500,6.2200,6.3500,6.3500,23761321,0.0000,1.0000
2019-01-07,6.1200,6.2900,6.1100,6.2200,6.2200,31693691,0.0000,1.0000
2019-01-04,6.0400,6.2200,5.9950,6.1700,6.1700,25438034,0.0000,1.0000
2019-01-03,5.8200,6.0000,5.7600,5.9400,5.9400,22282674,0.0000,1.0000
2019-01-02,5.6900,5.9450,5.6900,5.9000,5.9000,23871519,0.0000,1.0000
2018-12-31,5.7500,5.7650,5.6350,5.7100,5.7100,16577199,0.0000,1.0000
2018-12-28,5.7600,5.7700,5.6313,5.7200,5.7200,13832175,0.0000,1.0000
2018-12-27,5.7400,5.7600,5.5200,5.7300,5.7300,19617312,0.0000,1.0000
2018-12-26,5.5200,5.7350,5.4800,5.7300,5.7300,21302451,0.0000,1.0000
2018-12-24,5.5200,5.6200,5.4813,5.5100,5.5100,16571516,0.0000,1.0000
2018-12-21,5.9100,5.9800,5.5401,5.5900,5.5900,35119519,0.0000,1.0000
2018-12-20,6.0200,6.0700,5.8400,5.8900,5.8900,28619791,0.0000,1.0000
2018-12-19,6.1600,6.2000,5.9700,6.0200,6.0200,30785833,0.0000,1.0000
2018-12-18,6.1500,6.2000,6.0750,6.1500,6.1500,31578901,0.0000,1.0000
2018-12-17,6.1600,6.2400,6.0900,6.1200,6.1200,24676950,0.0000,1.0000
2018-12-14,6.1600,6.3350,6.1500,6.1700,6.1700,29325378,0.0000,1.0000
2018-12-13,6.3100,6.3750,6.1300,6.2400,6.2400,30899028,0.0000,1.0000
2018-12-12,6.3400,6.4300,6.2900,6.3200,6.3200,27750492,0.0000,1.0000
2018-12-11,6.2800,6.3600,6.2350,6.2600,6.2600,27312163,0.0000,1.0000
2018-12-10,6.2400,6.2900,6.1500,6.2000,6.2000,27675700,0.0000,1.0000
2018-12-07,6.2800,6.3900,6.2100,6.2200,6.2200,30788769,0.0000,1.0000
2018-12-06,6.1300,6.3700,6.0700,6.3500,6.3500,39705464,0.0000,1.0000
2018-12-04,6.3100,6.3800,6.1700,6.1900,6.1900,31756034,0.0000,1.0000
2018-12-03,6.3000,6.3200,6.1500,6.3200,6.3200,27354113,0.0000,1.0000
