timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,20.1100,20.3400,20.0400,20.1600,20.1600,5424018,0.0000,1.0000
2018-08-30,20.5600,20.5850,19.9350,20.2000,20.2000,7314653,0.0000,1.0000
2018-08-29,20.1800,20.5900,20.1800,20.5700,20.5700,8708567,0.0000,1.0000
2018-08-28,20.0800,20.3100,20.0600,20.2600,20.2600,4882247,0.0000,1.0000
2018-08-27,19.8600,20.1500,19.7600,20.0600,20.0600,7546084,0.0000,1.0000
2018-08-24,19.7100,19.7600,19.5950,19.7600,19.7600,5706084,0.0000,1.0000
2018-08-23,19.7000,19.7800,19.5700,19.6200,19.6200,4171676,0.0000,1.0000
2018-08-22,19.4800,19.7400,19.4300,19.7000,19.7000,6065668,0.0000,1.0000
2018-08-21,19.7500,19.7500,19.4500,19.5500,19.5500,9500296,0.0000,1.0000
2018-08-20,19.4900,19.5000,19.2400,19.3650,19.3650,7192127,0.0000,1.0000
2018-08-17,19.2600,19.6200,19.1450,19.4600,19.4600,7844663,0.0750,1.0000
2018-08-16,20.1300,20.4400,19.3600,19.4100,19.3355,32399847,0.0000,1.0000
2018-08-15,18.5500,18.6600,18.3400,18.5500,18.4788,6846943,0.0000,1.0000
2018-08-14,18.8800,18.9700,18.4900,18.6600,18.5884,6550979,0.0000,1.0000
2018-08-13,19.2500,19.2504,18.7900,18.8100,18.7378,7364914,0.0000,1.0000
2018-08-10,19.1700,19.2700,18.9600,19.1800,19.1064,5568499,0.0000,1.0000
2018-08-09,19.4600,19.6100,19.1700,19.2300,19.1562,8944793,0.0000,1.0000
2018-08-08,19.6600,19.6600,19.2400,19.4400,19.3654,7765368,0.0000,1.0000
2018-08-07,19.6900,19.7600,19.3900,19.4400,19.3654,11544332,0.0000,1.0000
2018-08-06,19.1800,19.6200,19.0900,19.5750,19.4998,14045117,0.0000,1.0000
2018-08-03,18.1700,19.2500,17.8100,19.2500,19.1761,48600328,0.0000,1.0000
2018-08-02,20.3500,20.9800,20.2300,20.8800,20.7998,12554799,0.0000,1.0000
2018-08-01,20.5800,20.6200,20.1500,20.4300,20.3516,13171251,0.0000,1.0000
2018-07-31,20.3400,20.4100,20.0900,20.2200,20.1424,10165734,0.0000,1.0000
2018-07-30,20.6600,20.7200,20.2900,20.3100,20.2320,7776561,0.0000,1.0000
2018-07-27,20.6100,20.9100,20.6000,20.7300,20.6504,11840310,0.0000,1.0000
2018-07-26,20.6900,20.9300,20.5700,20.6000,20.5209,9839068,0.0000,1.0000
2018-07-25,20.5300,20.8300,20.5200,20.6900,20.6106,11322795,0.0000,1.0000
2018-07-24,21.0600,21.1100,20.5400,20.5500,20.4711,9290442,0.0000,1.0000
2018-07-23,21.2000,21.2200,20.8900,20.9100,20.8297,5003395,0.0000,1.0000
2018-07-20,21.2700,21.3600,21.1600,21.2000,21.1186,4343492,0.0000,1.0000
2018-07-19,21.4600,21.5200,21.2300,21.2900,21.2083,5254262,0.0000,1.0000
2018-07-18,21.6100,21.7300,21.4200,21.5600,21.4772,7036737,0.0000,1.0000
2018-07-17,21.4200,21.7100,21.3500,21.5700,21.4872,3768115,0.0000,1.0000
2018-07-16,21.6800,21.7300,21.4950,21.5500,21.4673,5341043,0.0000,1.0000
2018-07-13,21.9300,21.9300,21.4500,21.6700,21.5868,4562518,0.0000,1.0000
2018-07-12,21.4500,21.8600,21.3100,21.6200,21.5370,9383581,0.0000,1.0000
2018-07-11,21.3300,21.4100,21.1800,21.2800,21.1983,4346394,0.0000,1.0000
2018-07-10,21.5500,21.5900,21.2900,21.4100,21.3278,3783469,0.0000,1.0000
2018-07-09,21.3200,21.5800,21.2750,21.5700,21.4872,4250161,0.0000,1.0000
2018-07-06,21.1500,21.3600,21.1100,21.2800,21.1983,4551704,0.0000,1.0000
2018-07-05,20.9200,21.2050,20.8500,21.1500,21.0688,5298669,0.0000,1.0000
2018-07-03,21.0000,21.0000,20.7700,20.8100,20.7301,3735027,0.0000,1.0000
2018-07-02,20.5000,20.9100,20.3900,20.8900,20.8098,11955989,0.0000,1.0000
2018-06-29,20.3300,20.7900,20.2500,20.6500,20.5707,12299065,0.0000,1.0000
2018-06-28,20.0700,20.3450,20.0000,20.2900,20.2121,14893144,0.0000,1.0000
2018-06-27,20.4300,20.4600,19.9500,20.1300,20.0527,8856230,0.0000,1.0000
2018-06-26,20.3700,20.5800,20.2500,20.3400,20.2619,10042671,0.0000,1.0000
2018-06-25,20.5600,20.6400,20.2500,20.4700,20.3914,6245195,0.0000,1.0000
2018-06-22,20.8200,20.8500,20.6400,20.7200,20.6405,14688689,0.0000,1.0000
2018-06-21,20.9700,21.0500,20.7416,20.8000,20.7201,3266131,0.0000,1.0000
2018-06-20,21.0100,21.1500,20.8450,21.0100,20.9293,9961769,0.0000,1.0000
2018-06-19,21.0300,21.1100,20.8300,20.9900,20.9094,6483463,0.0000,1.0000
2018-06-18,21.1000,21.2600,21.0200,21.1600,21.0788,4997551,0.0000,1.0000
2018-06-15,21.3600,21.3700,21.0300,21.2600,21.1784,10315076,0.0000,1.0000
2018-06-14,21.3700,21.6100,21.3000,21.3600,21.2780,4806180,0.0000,1.0000
2018-06-13,21.4900,21.5050,21.2500,21.2800,21.1983,4276639,0.0000,1.0000
2018-06-12,21.2800,21.5250,21.2600,21.4300,21.3477,7084391,0.0000,1.0000
2018-06-11,21.2700,21.4850,21.1800,21.2000,21.1186,11990753,0.0000,1.0000
2018-06-08,21.2700,21.4500,21.2000,21.3200,21.2381,6542007,0.0000,1.0000
2018-06-07,21.5000,21.5500,21.0650,21.3000,21.2182,7608390,0.0750,1.0000
2018-06-06,21.3200,21.5700,21.2900,21.5400,21.3820,6547394,0.0000,1.0000
2018-06-05,21.2000,21.4550,21.0800,21.3400,21.1835,6756361,0.0000,1.0000
2018-06-04,20.9500,21.2800,20.7600,21.1500,20.9949,9900630,0.0000,1.0000
2018-06-01,20.7900,21.1500,20.6850,21.0200,20.8658,5381101,0.0000,1.0000
2018-05-31,21.0400,21.1950,20.7500,20.7800,20.6276,7596282,0.0000,1.0000
2018-05-30,21.0200,21.2400,20.8100,21.0500,20.8956,7122235,0.0000,1.0000
2018-05-29,20.8400,21.1100,20.6700,21.0200,20.8658,8113887,0.0000,1.0000
2018-05-25,20.9800,21.1400,20.8000,21.0600,20.9055,5498891,0.0000,1.0000
2018-05-24,21.3100,21.4900,20.9600,20.9900,20.8360,8549022,0.0000,1.0000
2018-05-23,21.1900,21.5100,21.1200,21.3200,21.1636,8689765,0.0000,1.0000
2018-05-22,21.7100,21.8300,21.3100,21.3700,21.2133,11104928,0.0000,1.0000
2018-05-21,22.2600,22.3200,21.4300,21.5900,21.4316,10905493,0.0000,1.0000
2018-05-18,22.3600,22.4900,22.1700,22.1900,22.0272,8912877,0.0000,1.0000
2018-05-17,22.3000,22.7900,22.1601,22.3200,22.1563,12088241,0.0000,1.0000
2018-05-16,21.9100,22.6800,21.8800,22.3500,22.1861,15467098,0.0000,1.0000
2018-05-15,22.0000,22.4000,21.2000,22.3300,22.1662,36337248,0.0000,1.0000
2018-05-14,21.1600,21.8900,21.0100,21.4000,21.2430,54751428,0.0000,1.0000
2018-05-11,20.0200,20.1000,18.8500,19.5200,19.3768,112357800,0.0000,1.0000
2018-05-10,28.8700,29.2000,28.6300,29.1800,28.9660,7858081,0.0000,1.0000
2018-05-09,28.6700,28.8700,28.3700,28.7500,28.5391,4720369,0.0000,1.0000
2018-05-08,28.3200,28.7300,28.3200,28.6000,28.3902,3780364,0.0000,1.0000
2018-05-07,28.0000,28.5596,27.9000,28.4400,28.2314,4983501,0.0000,1.0000
2018-05-04,27.5300,27.9400,27.0700,27.8400,27.6358,4493792,0.0000,1.0000
2018-05-03,27.7800,27.8500,27.1800,27.7300,27.5266,3687540,0.0000,1.0000
2018-05-02,27.6000,28.2700,27.4800,27.9200,27.7152,4540011,0.0000,1.0000
2018-05-01,27.7400,27.7800,27.2400,27.6700,27.4671,3534612,0.0000,1.0000
2018-04-30,27.9300,27.9700,27.5150,27.7900,27.5862,3641011,0.0000,1.0000
2018-04-27,28.3000,28.5700,27.6000,27.8000,27.5961,7498634,0.0000,1.0000
2018-04-26,28.6000,29.1800,28.5800,28.6400,28.4299,13839587,0.0000,1.0000
2018-04-25,27.7400,28.4900,27.3800,28.4800,28.2711,7048444,0.0000,1.0000
2018-04-24,27.9500,28.2000,27.4600,27.6900,27.4869,6123070,0.0000,1.0000
2018-04-23,27.7700,27.8700,27.6100,27.7600,27.5564,4658430,0.0000,1.0000
2018-04-20,27.7900,27.8500,27.4350,27.7100,27.5068,4192129,0.0000,1.0000
2018-04-19,27.8600,27.9400,27.5200,27.8500,27.6457,3273355,0.0000,1.0000
2018-04-18,27.9500,28.0766,27.8600,27.9100,27.7053,3767992,0.0000,1.0000
2018-04-17,27.9400,28.1300,27.7700,27.9200,27.7152,3005226,0.0000,1.0000
2018-04-16,27.6700,28.0500,27.4950,27.7500,27.5465,3612769,0.0000,1.0000
2018-04-13,27.7000,27.7700,27.3400,27.5200,27.3182,4465252,0.0000,1.0000
2018-04-12,26.9400,27.7300,26.9000,27.6000,27.3976,6466323,0.0000,1.0000
2018-04-11,26.3000,27.0100,26.2200,26.8300,26.6332,3840556,0.0000,1.0000
2018-04-10,26.3700,26.5100,26.1100,26.4500,26.2560,4774663,0.0000,1.0000
2018-04-09,26.0400,26.3900,25.9500,25.9800,25.7894,3052436,0.0000,1.0000
2018-04-06,26.0600,26.7990,25.6200,26.0000,25.8093,5567510,0.0000,1.0000
2018-04-05,26.2800,26.5100,26.0150,26.1500,25.9582,4954327,0.0000,1.0000
2018-04-04,25.3600,26.1600,25.0800,26.1000,25.9086,4439543,0.0000,1.0000
2018-04-03,25.4400,25.7600,25.1350,25.6800,25.4916,4699487,0.0000,1.0000
2018-04-02,25.8100,25.8100,24.9300,25.2000,25.0152,6352654,0.0000,1.0000
2018-03-29,25.7900,26.0900,25.4250,25.8500,25.6604,5819136,0.0000,1.0000
2018-03-28,25.5600,25.9600,25.2200,25.6400,25.4519,6074133,0.0000,1.0000
2018-03-27,26.3600,26.5750,25.3600,25.5100,25.3229,4698744,0.0000,1.0000
2018-03-26,26.0500,26.2550,25.7000,26.2100,26.0178,5642659,0.0000,1.0000
2018-03-23,26.4900,26.7200,25.7000,25.7000,25.5115,5257934,0.0000,1.0000
2018-03-22,26.6300,26.9000,26.5000,26.6000,26.4049,5427416,0.0000,1.0000
2018-03-21,26.4900,27.1300,26.4600,26.9300,26.7325,3517246,0.0000,1.0000
2018-03-20,26.7400,26.8500,26.2600,26.5200,26.3255,4973990,0.0000,1.0000
2018-03-19,27.1500,27.3000,26.2600,26.6700,26.4744,10643203,0.0000,1.0000
2018-03-16,27.6600,27.9000,27.3600,27.3700,27.1693,6609646,0.0000,1.0000
2018-03-15,27.3300,27.5700,26.8900,27.5400,27.3380,4074383,0.0000,1.0000
2018-03-14,27.5200,27.6700,27.2350,27.3700,27.1693,4909340,0.0000,1.0000
2018-03-13,27.8000,27.9150,27.2800,27.3400,27.1395,4931252,0.0000,1.0000
2018-03-12,27.8600,28.0500,27.4800,27.7600,27.5564,3729207,0.0000,1.0000
2018-03-09,27.7200,27.8700,27.5200,27.8500,27.6457,5308471,0.0000,1.0000
2018-03-08,27.3100,27.6750,27.1550,27.6300,27.4273,3685952,0.0000,1.0000
2018-03-07,26.9300,27.2800,26.8033,27.2400,27.0402,2663841,0.0000,1.0000
2018-03-06,27.1900,27.2400,26.9000,26.9600,26.7623,3507781,0.0000,1.0000
2018-03-05,26.7200,27.1375,26.4500,27.0900,26.8913,5602346,0.0000,1.0000
2018-03-02,26.2500,26.9800,26.1450,26.9100,26.7126,4289642,0.0000,1.0000
2018-03-01,26.3400,26.6600,25.9900,26.5100,26.3156,6137871,0.0000,1.0000
2018-02-28,26.4700,26.9200,26.2700,26.2900,26.0972,6054277,0.0000,1.0000
2018-02-27,27.3200,27.4000,26.1750,26.3200,26.1270,7148102,0.0000,1.0000
2018-02-26,27.4000,27.5200,27.0000,27.2300,27.0303,4436979,0.0000,1.0000
2018-02-23,27.2300,27.4300,27.0400,27.4300,27.2288,3382410,0.0000,1.0000
2018-02-22,27.0800,27.4600,26.9500,26.9800,26.7821,3384057,0.0000,1.0000
2018-02-21,27.0800,27.5600,26.9000,27.0300,26.8317,5537227,0.0750,1.0000
2018-02-20,27.4300,27.9900,26.9000,27.0200,26.7476,4786253,0.0000,1.0000
2018-02-16,27.7500,27.8000,27.4000,27.5500,27.2723,7337817,0.0000,1.0000
2018-02-15,27.1700,27.7500,27.0400,27.7000,27.4207,5114939,0.0000,1.0000
2018-02-14,26.3600,27.1700,26.3100,27.0200,26.7476,6422595,0.0000,1.0000
2018-02-13,26.1000,26.6400,25.7900,26.5800,26.3120,4825735,0.0000,1.0000
2018-02-12,26.1100,26.4100,25.8400,26.1000,25.8369,9007529,0.0000,1.0000
2018-02-09,25.9700,26.2200,24.9400,25.9100,25.6488,9919280,0.0000,1.0000
2018-02-08,26.6100,26.7900,25.5900,25.5900,25.3320,7198798,0.0000,1.0000
2018-02-07,27.0800,27.4100,26.5500,26.5800,26.3120,5493515,0.0000,1.0000
2018-02-06,26.4700,27.1000,25.9300,27.0800,26.8070,9829001,0.0000,1.0000
2018-02-05,26.8900,28.0100,26.7700,26.7900,26.5199,10800357,0.0000,1.0000
2018-02-02,27.1600,27.4100,26.7100,27.0200,26.7476,8309555,0.0000,1.0000
2018-02-01,26.3500,28.0900,25.8500,27.3600,27.0842,13717944,0.0000,1.0000
2018-01-31,26.5900,27.3100,26.5100,27.2300,26.9555,7616614,0.0000,1.0000
2018-01-30,27.0600,27.1500,26.5800,26.6200,26.3516,4888276,0.0000,1.0000
2018-01-29,27.4600,27.6400,27.0600,27.0700,26.7971,4679286,0.0000,1.0000
2018-01-26,27.2200,27.7100,27.1000,27.7100,27.4306,5524630,0.0000,1.0000
2018-01-25,26.9900,27.1600,26.8700,27.1500,26.8763,4749821,0.0000,1.0000
2018-01-24,26.7400,27.3400,26.6600,26.8000,26.5298,7290347,0.0000,1.0000
2018-01-23,26.5400,26.7100,26.3600,26.6100,26.3417,8948111,0.0000,1.0000
2018-01-22,26.7600,27.1500,26.3700,26.5400,26.2724,11231963,0.0000,1.0000
2018-01-19,27.2500,27.7000,27.0400,27.4600,27.1832,7793791,0.0000,1.0000
2018-01-18,26.4900,27.4800,25.6500,27.2500,26.9753,12405947,0.0000,1.0000
2018-01-17,28.1100,28.3800,27.4400,27.5200,27.2426,15638324,0.0000,1.0000
2018-01-16,28.9300,28.9500,27.8400,27.8700,27.5890,7452204,0.0000,1.0000
2018-01-12,29.4600,29.5200,28.5200,28.8200,28.5295,10449284,0.0000,1.0000
2018-01-11,28.5000,29.0800,28.5000,28.7700,28.4800,3670603,0.0000,1.0000
2018-01-10,28.7800,29.0600,28.3800,28.6600,28.3711,8623351,0.0000,1.0000
2018-01-09,29.5200,29.7300,28.9600,29.0100,28.7175,4551335,0.0000,1.0000
2018-01-08,29.4000,29.6500,29.1900,29.5700,29.2719,4702505,0.0000,1.0000
2018-01-05,29.2000,29.5700,28.9300,29.5100,29.2125,5063726,0.0000,1.0000
2018-01-04,29.2000,29.2500,28.7900,28.9700,28.6779,4985966,0.0000,1.0000
2018-01-03,28.8100,29.1700,28.7000,28.9100,28.6186,4237805,0.0000,1.0000
2018-01-02,28.2600,29.0500,28.0500,28.9100,28.6186,5504116,0.0000,1.0000
2017-12-29,28.4600,28.6400,28.0200,28.0600,27.7771,2621462,0.0000,1.0000
2017-12-28,28.4200,28.5100,28.2200,28.4800,28.1929,3073027,0.0000,1.0000
2017-12-27,27.9300,28.4700,27.9000,28.4500,28.1632,2775586,0.0000,1.0000
2017-12-26,28.2600,28.3800,28.1200,28.2300,27.9454,1782790,0.0000,1.0000
2017-12-22,28.4800,28.6100,28.0600,28.3200,28.0345,2641054,0.0000,1.0000
2017-12-21,28.3700,28.7400,28.0800,28.4800,28.1929,3882189,0.0000,1.0000
2017-12-20,28.4200,28.4900,27.8900,28.1600,27.8761,5582854,0.0000,1.0000
2017-12-19,28.5600,28.7400,28.1000,28.3100,28.0246,4937559,0.0000,1.0000
2017-12-18,29.1500,29.2000,28.3500,28.6500,28.3612,5089223,0.0000,1.0000
2017-12-15,29.1000,29.1000,28.7000,28.9800,28.6878,8661422,0.0000,1.0000
2017-12-14,28.7200,29.1400,28.6000,28.7500,28.4602,5719615,0.0000,1.0000
2017-12-13,28.9400,29.0600,28.3800,28.6300,28.3414,6110969,0.0000,1.0000
2017-12-12,29.2000,29.2600,28.7700,28.9200,28.6284,5813892,0.0000,1.0000
2017-12-11,27.9600,29.3400,27.9100,29.2200,28.9254,7837919,0.0000,1.0000
2017-12-08,27.7800,28.0800,27.6600,27.9800,27.6979,3183235,0.0000,1.0000
2017-12-07,27.3800,27.7400,27.2050,27.5600,27.2822,5853982,0.0000,1.0000
2017-12-06,27.5100,27.6700,27.1800,27.3600,27.0842,4387526,0.0000,1.0000
2017-12-05,27.7600,28.1500,27.3150,27.4400,27.1634,5980560,0.0000,1.0000
2017-12-04,29.1100,29.1100,27.5600,27.7500,27.4702,11373476,0.0000,1.0000
2017-12-01,28.9700,29.2800,28.7600,29.1100,28.8165,7578900,0.0000,1.0000
2017-11-30,28.6700,29.0900,28.5100,28.9700,28.6779,8239800,0.0000,1.0000
2017-11-29,28.9700,29.2900,28.4000,28.5700,28.2820,6691200,0.0000,1.0000
2017-11-28,28.8700,29.1000,28.4200,28.9700,28.6779,6264546,0.0000,1.0000
2017-11-27,28.6000,28.9400,28.5400,28.8400,28.5493,4555561,0.0000,1.0000
2017-11-24,28.4400,28.6700,28.4200,28.5600,28.2721,2067227,0.0000,1.0000
2017-11-22,28.1600,28.4800,28.0300,28.4300,28.1434,4634800,0.0000,1.0000
2017-11-21,28.2600,28.2700,27.6700,28.1100,27.8266,5740796,0.0000,1.0000
2017-11-20,28.0000,28.2350,27.9000,28.1900,27.9058,3261202,0.0000,1.0000
2017-11-17,28.1700,28.3100,27.8900,28.0400,27.7573,3487940,0.0750,1.0000
2017-11-16,27.6100,28.4300,27.6000,28.2800,27.9202,5017655,0.0000,1.0000
2017-11-15,27.9800,28.1800,27.4700,27.7100,27.3575,5304440,0.0000,1.0000
2017-11-14,27.9100,28.2100,27.6000,28.1000,27.7425,5241066,0.0000,1.0000
2017-11-13,28.1200,28.2800,27.8300,27.9700,27.6142,4569412,0.0000,1.0000
2017-11-10,28.4100,28.4400,27.9900,28.3600,27.9992,4582068,0.0000,1.0000
2017-11-09,28.8500,28.9500,28.4800,28.5900,28.2263,5368890,0.0000,1.0000
2017-11-08,28.6800,29.0900,28.5800,29.0300,28.6607,6714227,0.0000,1.0000
2017-11-07,28.9900,29.0700,28.5400,28.6800,28.3151,9904651,0.0000,1.0000
2017-11-06,29.8500,29.8700,28.8759,28.9000,28.5323,7453076,0.0000,1.0000
2017-11-03,29.0100,29.9500,28.8700,29.8750,29.4949,10966443,0.0000,1.0000
2017-11-02,29.3200,30.2290,28.3300,29.3800,29.0062,26602614,0.0000,1.0000
2017-11-01,32.2000,32.7200,31.7700,32.1600,31.7509,9735163,0.0000,1.0000
2017-10-31,32.4300,32.9500,32.3200,32.5000,32.0865,5500927,0.0000,1.0000
2017-10-30,32.0700,32.4400,31.8900,32.4100,31.9977,4041844,0.0000,1.0000
2017-10-27,31.6800,32.3300,31.6600,32.0900,31.6818,3946150,0.0000,1.0000
2017-10-26,32.2900,32.4500,31.8450,31.8600,31.4547,3812305,0.0000,1.0000
2017-10-25,32.2700,32.6800,32.0450,32.1800,31.7706,3171015,0.0000,1.0000
2017-10-24,32.2100,32.3700,31.9300,32.3600,31.9483,2038693,0.0000,1.0000
2017-10-23,32.7200,32.7600,32.1550,32.2200,31.8101,2380242,0.0000,1.0000
2017-10-20,32.5600,32.7800,32.4000,32.6600,32.2445,2933845,0.0000,1.0000
2017-10-19,31.9700,32.3700,31.8500,32.3300,31.9187,3856774,0.0000,1.0000
2017-10-18,32.0400,32.2000,31.9250,32.1500,31.7410,2339593,0.0000,1.0000
2017-10-17,32.0200,32.1700,31.9300,32.0100,31.6028,2154077,0.0000,1.0000
2017-10-16,32.4200,32.4800,32.0200,32.0600,31.6521,2965459,0.0000,1.0000
2017-10-13,32.1400,32.4900,32.0750,32.3600,31.9483,3314914,0.0000,1.0000
2017-10-12,31.5800,32.2000,31.5800,31.9000,31.4942,3760202,0.0000,1.0000
2017-10-11,31.3800,31.7800,31.3000,31.6100,31.2079,5278709,0.0000,1.0000
2017-10-10,31.2600,31.9900,31.2100,31.5900,31.1881,7983755,0.0000,1.0000
2017-10-09,32.8900,33.2500,32.1800,32.6300,32.2149,8050689,0.0000,1.0000
2017-10-06,33.5600,33.9200,33.4144,33.9200,33.4885,3694342,0.0000,1.0000
2017-10-05,33.4300,33.7500,33.3200,33.7000,33.2713,3802995,0.0000,1.0000
2017-10-04,32.9200,33.3000,32.6400,33.2500,32.8270,3939256,0.0000,1.0000
2017-10-03,32.8700,33.2900,32.7500,33.0200,32.5999,4132649,0.0000,1.0000
2017-10-02,33.0000,33.0750,32.7400,32.7800,32.3630,5396481,0.0000,1.0000
2017-09-29,33.1600,33.3300,32.7225,32.8100,32.3926,5089542,0.0000,1.0000
2017-09-28,32.8900,33.1000,32.4000,33.0700,32.6493,3679364,0.0000,1.0000
2017-09-27,33.0600,33.3400,32.7300,33.0500,32.6295,4477704,0.0000,1.0000
2017-09-26,32.9600,33.2100,32.4500,32.7400,32.3235,5020340,0.0000,1.0000
2017-09-25,32.8600,32.9400,32.5000,32.8500,32.4321,5120125,0.0000,1.0000
2017-09-22,32.9000,33.1787,32.5000,33.0200,32.5999,4258583,0.0000,1.0000
2017-09-21,33.6400,33.6700,33.0300,33.0400,32.6197,5396451,0.0000,1.0000
2017-09-20,34.1800,34.2000,33.3900,33.7200,33.2910,5176176,0.0000,1.0000
2017-09-19,34.0000,34.1600,33.7200,34.1600,33.7254,5563373,0.0000,1.0000
2017-09-18,33.2700,33.8400,33.2200,33.7700,33.3404,5262352,0.0000,1.0000
2017-09-15,32.9700,33.5100,32.6100,33.2400,32.8171,9056396,0.0000,1.0000
2017-09-14,32.8700,33.3100,32.3700,32.9500,32.5308,7051185,0.0000,1.0000
2017-09-13,33.7200,34.1700,32.9900,33.0800,32.6592,9015194,0.0000,1.0000
2017-09-12,32.9100,33.8700,32.6700,33.7300,33.3009,9923226,0.0000,1.0000
2017-09-11,31.9500,32.7600,31.8300,32.7500,32.3334,9368532,0.0000,1.0000
2017-09-08,31.5000,32.5000,31.3500,31.6300,31.2276,11427865,0.0000,1.0000
2017-09-07,29.7400,30.6500,29.6200,30.6000,30.2107,7327452,0.0000,1.0000
2017-09-06,29.9500,29.9600,29.5400,29.6000,29.2234,5523809,0.0000,1.0000
2017-09-05,29.8600,29.9400,29.4500,29.8100,29.4308,5385655,0.0000,1.0000
2017-09-01,30.1400,30.1500,29.7000,29.8600,29.4801,4849616,0.0000,1.0000
2017-08-31,30.0000,30.1300,29.8300,29.9800,29.5986,4142577,0.0000,1.0000
2017-08-30,29.7000,29.9050,29.6500,29.8900,29.5097,4573670,0.0000,1.0000
2017-08-29,29.6500,29.8500,29.4250,29.6900,29.3123,5723941,0.0000,1.0000
2017-08-28,29.5900,30.0100,29.2600,29.9200,29.5394,5773859,0.0000,1.0000
2017-08-25,29.5100,29.6800,29.3700,29.4700,29.0951,4318539,0.0000,1.0000
