timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-09,125.3900,125.8500,123.8600,125.2000,125.2000,1551606,0.0000,1.0000
2018-08-08,122.0700,125.6200,121.1600,124.9500,124.9500,2162903,0.0000,1.0000
2018-08-07,121.3100,122.9050,119.8600,122.2100,122.2100,1753110,0.0000,1.0000
2018-08-06,122.8000,123.8800,120.0000,121.3200,121.3200,2998027,0.0000,1.0000
2018-08-03,129.4700,130.4300,122.0900,123.4100,123.4100,7965640,0.0000,1.0000
2018-08-02,111.7850,113.7900,111.0674,113.2400,113.2400,3536011,0.0000,1.0000
2018-08-01,112.3400,115.9600,111.9200,112.2400,112.2400,2236713,0.0000,1.0000
2018-07-31,113.7500,115.7100,112.4300,113.0200,113.0200,2564059,0.0000,1.0000
2018-07-30,122.2300,122.4300,112.5500,113.1100,113.1100,3623205,0.0000,1.0000
2018-07-27,124.0100,125.4700,120.9900,122.5800,122.5800,2172762,0.0000,1.0000
2018-07-26,127.5100,127.6700,124.8900,125.3300,125.3300,1167706,0.0000,1.0000
2018-07-25,125.6400,128.7000,124.5500,127.8400,127.8400,1858246,0.0000,1.0000
2018-07-24,127.8400,127.8400,123.4100,125.1600,125.1600,2068201,0.0000,1.0000
2018-07-23,126.5100,127.1200,125.1100,126.8000,126.8000,1122159,0.0000,1.0000
2018-07-20,127.0100,128.1800,126.0900,126.6100,126.6100,2202310,0.0000,1.0000
2018-07-19,127.5400,128.2400,126.6100,127.4100,127.4100,1391527,0.0000,1.0000
2018-07-18,126.5500,127.6150,125.8500,126.8100,126.8100,1594270,0.0000,1.0000
2018-07-17,124.6000,127.9200,124.5100,126.6800,126.6800,1433846,0.0000,1.0000
2018-07-16,126.2500,126.8900,125.6700,125.8900,125.8900,1060134,0.0000,1.0000
2018-07-13,126.5000,126.7500,124.8070,126.3500,126.3500,946821,0.0000,1.0000
2018-07-12,123.2700,126.5736,123.2700,126.2400,126.2400,1300043,0.0000,1.0000
2018-07-11,120.3800,124.3400,120.0100,122.7400,122.7400,1671246,0.0000,1.0000
2018-07-10,121.9900,122.3700,119.3100,121.1500,121.1500,1237061,0.0000,1.0000
2018-07-09,124.4300,124.4300,120.0600,121.9700,121.9700,1229963,0.0000,1.0000
2018-07-06,120.9100,123.6300,120.5410,123.4400,123.4400,1377983,0.0000,1.0000
2018-07-05,119.3900,121.0000,118.6600,120.8200,120.8200,1614153,0.0000,1.0000
2018-07-03,120.0000,120.0000,117.7700,118.1500,118.1500,834095,0.0000,1.0000
2018-07-02,117.8700,120.2100,117.0000,119.8700,119.8700,1155256,0.0000,1.0000
2018-06-29,118.8200,120.3000,118.2700,118.3600,118.3600,1633510,0.0000,1.0000
2018-06-28,113.9500,118.9800,113.5200,118.0600,118.0600,2195042,0.0000,1.0000
2018-06-27,116.4100,117.2300,113.9500,113.9600,113.9600,1603873,0.0000,1.0000
2018-06-26,117.7000,119.2900,115.8000,115.9100,115.9100,2101188,0.0000,1.0000
2018-06-25,115.6400,117.1900,113.7900,116.7300,116.7300,2475553,0.0000,1.0000
2018-06-22,117.0000,118.5100,115.2000,116.9600,116.9600,3053423,0.0000,1.0000
2018-06-21,118.0500,118.5600,115.8310,116.5000,116.5000,1164956,0.0000,1.0000
2018-06-20,118.8900,119.0500,117.1800,118.0100,118.0100,1390694,0.0000,1.0000
2018-06-19,118.9100,120.0200,116.4700,117.8300,117.8300,1464125,0.0000,1.0000
2018-06-18,120.8600,120.9200,119.3910,120.6900,120.6900,1309847,0.0000,1.0000
2018-06-15,121.8700,123.1890,120.3800,121.5100,121.5100,2539831,0.0000,1.0000
2018-06-14,119.2100,123.1000,118.8800,121.8400,121.8400,3060358,0.0000,1.0000
2018-06-13,115.0000,119.3800,114.9965,118.4600,118.4600,3050748,0.0000,1.0000
2018-06-12,113.3300,114.7900,113.2100,114.7000,114.7000,1675583,0.0000,1.0000
2018-06-11,113.7800,114.9400,112.9300,113.3200,113.3200,1079871,0.0000,1.0000
2018-06-08,113.0700,114.7700,112.0100,113.4200,113.4200,1248796,0.0000,1.0000
2018-06-07,112.6000,113.7700,111.7100,113.4200,113.4200,1175914,0.0000,1.0000
2018-06-06,113.9200,114.3200,112.1100,112.5900,112.5900,1338641,0.0000,1.0000
2018-06-05,111.3000,113.9988,111.0900,113.2600,113.2600,2375266,0.0000,1.0000
2018-06-04,114.2600,115.7500,112.7570,113.6800,113.6800,1416861,0.0000,1.0000
2018-06-01,112.5500,114.8700,111.3100,114.5900,114.5900,1482667,0.0000,1.0000
2018-05-31,110.8900,114.0400,110.1900,112.0800,112.0800,2182074,0.0000,1.0000
2018-05-30,111.5200,111.9500,109.9200,110.6300,110.6300,1207655,0.0000,1.0000
2018-05-29,110.8000,111.8400,109.7300,110.7800,110.7800,2132770,0.0000,1.0000
2018-05-25,111.8700,112.7500,111.2800,112.0200,112.0200,1058344,0.0000,1.0000
2018-05-24,112.4100,112.6100,109.8600,112.0700,112.0700,1544655,0.0000,1.0000
2018-05-23,112.1000,112.8900,111.1600,112.6000,112.6000,2144302,0.0000,1.0000
2018-05-22,115.9600,116.4900,113.0000,113.2400,113.2400,1274664,0.0000,1.0000
2018-05-21,116.5700,118.4400,113.9000,115.9600,115.9600,2436752,0.0000,1.0000
2018-05-18,113.0000,116.0000,112.7100,115.8100,115.8100,2533016,0.0000,1.0000
2018-05-17,113.3300,118.9100,112.5100,113.8800,113.8800,6114445,0.0000,1.0000
2018-05-16,113.5100,114.9500,112.4300,113.0700,113.0700,4140560,0.0000,1.0000
2018-05-15,113.2200,113.8150,111.9400,113.4700,113.4700,2339677,0.0000,1.0000
2018-05-14,116.9399,117.0900,113.6500,114.4000,114.4000,2438026,0.0000,1.0000
