timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-06,112.2800,113.5200,112.1200,113.1100,113.1100,2970787,0.0000,1.0000
2018-08-03,112.3300,112.9800,111.9300,112.8400,112.8400,3337888,0.0000,1.0000
2018-08-02,110.1500,113.0000,110.0038,112.2100,112.2100,4516692,0.0000,1.0000
2018-08-01,111.1600,111.9750,110.3300,111.0000,111.0000,5302979,0.0000,1.0000
2018-07-31,111.9900,112.5900,110.9200,111.3200,111.3200,5206264,0.0000,1.0000
2018-07-30,111.9900,112.3732,110.7000,110.9100,110.9100,4422499,0.6200,1.0000
2018-07-27,113.3000,114.2900,112.0200,112.6000,111.9741,4343912,0.0000,1.0000
2018-07-26,113.9500,114.4600,112.9400,113.3000,112.6702,5520420,0.0000,1.0000
2018-07-25,113.4000,114.3900,110.0300,113.2200,112.5906,8222143,0.0000,1.0000
2018-07-24,115.0600,116.4600,113.3500,113.8000,113.1674,4286663,0.0000,1.0000
2018-07-23,114.3500,114.8300,113.0400,114.6700,114.0325,3052841,0.0000,1.0000
2018-07-20,114.9700,115.7300,114.2400,115.0000,114.3607,4359113,0.0000,1.0000
2018-07-19,115.5300,115.6600,114.2300,114.5900,113.9530,5013928,0.0000,1.0000
2018-07-18,115.5000,116.9500,114.1400,115.6800,115.0369,5491924,0.0000,1.0000
2018-07-17,113.6700,115.8600,113.1950,115.8000,115.1563,3915077,0.0000,1.0000
2018-07-16,114.9100,115.4900,114.4200,114.5600,113.9232,3013880,0.0000,1.0000
2018-07-13,115.5300,115.9800,114.8300,115.1400,114.4999,2715830,0.0000,1.0000
2018-07-12,113.2400,116.6895,113.0600,115.8400,115.1960,5818733,0.0000,1.0000
2018-07-11,113.2900,113.7900,111.5200,111.7600,111.1387,5000193,0.0000,1.0000
2018-07-10,112.6300,114.0500,112.3800,113.7300,113.0978,4512841,0.0000,1.0000
2018-07-09,113.4000,113.5000,110.8350,112.0900,111.4669,3657979,0.0000,1.0000
2018-07-06,111.5600,112.9300,110.8300,112.7100,112.0834,3419735,0.0000,1.0000
2018-07-05,109.8400,111.6500,109.4100,111.5100,110.8901,4097689,0.0000,1.0000
2018-07-03,110.6100,111.2900,108.7400,108.9100,108.3046,2201492,0.0000,1.0000
2018-07-02,108.9400,110.3300,108.3800,110.2400,109.6272,3392524,0.0000,1.0000
2018-06-29,109.7900,111.5500,109.6200,110.2500,109.6371,5343292,0.0000,1.0000
2018-06-28,108.2300,109.5950,107.4500,109.1000,108.4935,4198780,0.0000,1.0000
2018-06-27,112.1800,112.5000,108.7700,108.7800,108.1753,4364895,0.0000,1.0000
2018-06-26,110.6300,112.0100,110.1300,111.5100,110.8901,4001893,0.0000,1.0000
2018-06-25,110.9600,111.0000,108.6100,110.1900,109.5774,5331154,0.0000,1.0000
2018-06-22,112.7500,113.2200,111.4100,112.3800,111.7553,3822597,0.0000,1.0000
2018-06-21,114.3800,114.5000,111.6100,112.1100,111.4868,3480145,0.0000,1.0000
2018-06-20,114.4100,115.1100,113.5700,114.2400,113.6049,3454806,0.0000,1.0000
2018-06-19,112.7500,113.9050,112.2035,113.6600,113.0282,3486518,0.0000,1.0000
2018-06-18,114.6000,114.9300,113.0300,114.3900,113.7541,3170574,0.0000,1.0000
2018-06-15,114.8700,116.0200,113.8700,115.8900,115.2458,7027646,0.0000,1.0000
2018-06-14,114.8600,115.5400,113.9700,114.7200,114.0823,2941184,0.0000,1.0000
2018-06-13,115.5000,115.6100,113.7900,114.0000,113.3663,4948571,0.0000,1.0000
2018-06-12,115.4900,115.7700,114.5800,115.4100,114.7684,3269123,0.0000,1.0000
2018-06-11,115.0000,115.8300,114.4800,115.2800,114.6392,3741296,0.0000,1.0000
2018-06-08,116.2900,116.6700,115.3500,115.7400,115.0966,4948563,0.0000,1.0000
2018-06-07,118.3500,118.4800,116.1400,117.2400,116.5883,6985116,0.0000,1.0000
2018-06-06,117.5700,118.1200,116.9100,118.1100,117.4534,4015442,0.0000,1.0000
2018-06-05,116.6900,117.9300,115.8300,117.6600,117.0059,5366553,0.0000,1.0000
2018-06-04,114.7400,116.3800,114.3100,115.7400,115.0966,3905744,0.0000,1.0000
2018-06-01,112.5500,114.8000,112.3200,114.8000,114.1618,4728383,0.0000,1.0000
2018-05-31,112.0000,112.8800,111.5000,111.9100,111.2879,6582077,0.0000,1.0000
2018-05-30,111.3400,112.3599,111.0400,111.8500,111.2282,3621826,0.0000,1.0000
2018-05-29,110.6400,111.7600,110.0100,110.9400,110.3233,3492823,0.0000,1.0000
2018-05-25,110.6400,111.7600,110.5500,111.5600,110.9398,4100151,0.0000,1.0000
2018-05-24,110.9900,111.2000,109.5800,110.7500,110.1343,2855520,0.0000,1.0000
2018-05-23,109.4900,111.0800,108.9000,111.0700,110.4526,3123547,0.0000,1.0000
2018-05-22,111.0500,111.8300,110.6850,110.8600,110.2437,2999608,0.0000,1.0000
2018-05-21,111.7100,112.2800,109.8800,110.4100,109.7962,5199500,0.0000,1.0000
2018-05-18,109.9200,111.0705,109.2800,110.5400,109.9255,4239567,0.0000,1.0000
2018-05-17,110.7100,111.6600,110.0300,110.3300,109.7167,3792819,0.0000,1.0000
2018-05-16,109.7500,111.5700,109.0400,111.4000,110.7807,3898161,0.0000,1.0000
2018-05-15,109.9900,110.8600,108.3500,109.2100,108.6029,4336713,0.0000,1.0000
2018-05-14,109.7300,111.0000,109.7000,110.6400,110.0249,4120362,0.0000,1.0000
2018-05-11,109.6200,110.7400,109.0000,109.2500,108.6427,3583533,0.0000,1.0000
2018-05-10,108.1500,110.0400,107.8100,109.9700,109.3587,4376505,0.0000,1.0000
2018-05-09,106.0000,107.6700,105.7100,107.5400,106.9422,5131592,0.0000,1.0000
2018-05-08,104.5500,108.0000,104.0600,105.4600,104.8737,5496502,0.0000,1.0000
2018-05-07,104.9900,105.1700,103.9700,104.5100,103.9290,4113778,0.0000,1.0000
