timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-18,72.4200,72.8800,71.9600,72.4300,72.4300,5539762,0.0000,1.0000
2019-01-17,71.3400,72.2700,71.2900,71.9900,71.9900,3625470,0.0000,1.0000
2019-01-16,72.0100,72.5859,71.8400,72.0000,72.0000,3785442,0.0000,1.0000
2019-01-15,70.9700,71.9800,70.8000,71.7900,71.7900,4259874,0.0000,1.0000
2019-01-14,71.4000,71.5000,70.3500,70.6500,70.6500,5997658,0.0000,1.0000
2019-01-11,72.6000,72.6200,71.1300,71.7100,71.7100,5684660,0.0000,1.0000
2019-01-10,72.0300,72.7500,71.2500,72.4800,72.4800,5130543,0.0000,1.0000
2019-01-09,71.8200,72.6500,71.5300,72.2300,72.2300,6317999,0.0000,1.0000
2019-01-08,70.5200,71.6700,70.1400,71.3700,71.3700,6548096,0.0000,1.0000
2019-01-07,69.1500,70.5400,68.8200,69.9700,69.9700,6192472,0.0000,1.0000
2019-01-04,68.4300,70.1400,68.0000,69.5700,69.5700,6868575,0.0000,1.0000
2019-01-03,67.8000,68.0900,66.7200,67.3300,67.3300,5853235,0.0000,1.0000
2019-01-02,67.2000,68.4600,66.6900,68.0400,68.0400,5528141,0.0000,1.0000
2018-12-31,68.5400,68.7200,67.7374,68.3300,68.3300,4870858,0.0000,1.0000
2018-12-28,68.5600,69.0800,67.5900,68.0500,68.0500,5181825,0.0000,1.0000
2018-12-27,67.1600,68.3900,65.7400,68.3600,68.3600,6873283,0.0000,1.0000
2018-12-26,65.4000,67.7900,64.5100,67.7200,67.7200,6584737,0.0000,1.0000
2018-12-24,66.9700,67.2000,65.1200,65.2600,65.2600,5608199,0.0000,1.0000
2018-12-21,69.6400,71.3000,66.7900,67.2600,67.2600,22563876,0.0000,1.0000
2018-12-20,71.8800,72.3200,68.4550,69.6100,69.6100,12686502,0.0000,1.0000
2018-12-19,75.8500,75.9400,72.5900,73.2900,73.2900,11063939,0.0000,1.0000
2018-12-18,76.9600,77.6900,75.3700,75.4800,75.4800,9124360,0.0000,1.0000
2018-12-17,77.9200,78.3700,75.8000,76.2200,76.2200,12321455,0.0000,1.0000
2018-12-14,79.2700,80.1000,78.4400,78.7400,78.7400,9282451,0.0000,1.0000
2018-12-13,82.7100,83.1400,81.6800,82.3200,82.3200,4771106,0.0000,1.0000
2018-12-12,82.4500,83.3300,82.1100,82.4400,82.4400,4844744,0.0000,1.0000
2018-12-11,81.9300,82.3500,80.7500,81.8100,81.8100,5467526,0.0000,1.0000
2018-12-10,81.6000,81.9200,79.6900,81.1600,81.1600,5625971,0.0000,1.0000
2018-12-07,82.4200,83.2100,80.9200,81.1900,81.1900,6152967,0.0000,1.0000
2018-12-06,82.4000,83.5650,80.7700,82.9400,82.9400,8093384,0.0000,1.0000
2018-12-04,85.9300,86.3100,82.4000,82.8200,82.8200,8359381,0.0000,1.0000
2018-12-03,85.0300,85.8300,84.6800,85.6900,85.6900,6223936,0.0000,1.0000
2018-11-30,84.8500,85.3100,83.7950,84.6700,84.6700,8323504,0.0000,1.0000
2018-11-29,83.8400,85.1300,83.8400,84.8500,84.8500,6090314,0.0000,1.0000
2018-11-28,83.8200,84.6600,82.8000,84.6400,84.6400,6784175,0.0000,1.0000
2018-11-27,81.7500,83.5300,81.3965,83.5200,83.5200,6047416,0.0000,1.0000
2018-11-26,81.4400,82.1800,80.9800,81.7000,81.7000,5565249,0.0000,1.0000
2018-11-23,79.1100,81.5000,79.0100,80.8100,80.8100,2716274,0.0000,1.0000
2018-11-21,80.4000,81.4700,79.6800,79.7600,79.7600,6396940,0.0000,1.0000
2018-11-20,81.0800,81.7300,78.2800,79.7900,79.7900,8267084,0.0000,1.0000
2018-11-19,82.3400,82.9900,81.7200,81.9200,81.9200,6064472,0.0000,1.0000
2018-11-16,82.4700,83.0700,81.5600,82.5200,82.5200,3603773,0.0000,1.0000
2018-11-15,81.5400,82.4200,80.8300,82.2900,82.2900,4336142,0.0000,1.0000
2018-11-14,82.3800,83.1800,80.9300,81.5200,81.5200,5366141,0.0000,1.0000
2018-11-13,82.2700,82.6800,81.4300,81.9200,81.9200,4375346,0.0000,1.0000
2018-11-12,82.3900,82.5900,81.5800,81.8100,81.8100,3545014,0.0000,1.0000
2018-11-09,82.5100,82.9800,81.7300,82.3900,82.3900,3601912,0.0000,1.0000
2018-11-08,81.5000,83.0000,81.3100,82.4400,82.4400,5344699,0.4400,1.0000
2018-11-07,80.7500,81.9600,80.5550,81.9100,81.4751,6142495,0.0000,1.0000
2018-11-06,80.0800,80.6500,79.5800,80.6000,80.1721,6265516,0.0000,1.0000
2018-11-05,79.6000,80.2000,79.0300,79.9700,79.5454,6061150,0.0000,1.0000
2018-11-02,80.2650,80.4200,78.5100,79.3000,78.8790,7197950,0.0000,1.0000
2018-11-01,79.4800,80.2700,79.2000,79.9000,79.4758,6368666,0.0000,1.0000
2018-10-31,78.8000,80.2500,77.6500,79.7700,79.3465,12973939,0.0000,1.0000
2018-10-30,77.1200,78.9400,76.5950,78.8000,78.3817,6944124,0.0000,1.0000
2018-10-29,76.7700,77.6800,75.5000,76.8200,76.4122,6398248,0.0000,1.0000
2018-10-26,73.5200,76.7500,73.5000,76.2300,75.8253,12078379,0.0000,1.0000
2018-10-25,74.8600,75.8450,74.1000,75.7400,75.3379,6434364,0.0000,1.0000
2018-10-24,77.3100,77.8100,74.0700,74.2000,73.8061,9171433,0.0000,1.0000
2018-10-23,77.2700,77.8000,76.4000,77.2600,76.8498,5094088,0.0000,1.0000
2018-10-22,77.5600,78.1000,77.0801,77.6500,77.2378,5715508,0.0000,1.0000
2018-10-19,77.0100,77.9950,76.6726,77.3500,76.9394,5934953,0.0000,1.0000
2018-10-18,77.0500,77.6367,76.2900,76.5800,76.1734,5879762,0.0000,1.0000
2018-10-17,76.1000,77.4900,75.7300,76.9800,76.5713,6256959,0.0000,1.0000
2018-10-16,75.1800,76.4500,74.3700,76.2800,75.8750,7739182,0.0000,1.0000
2018-10-15,73.0900,75.3499,73.0001,74.7200,74.3233,8308666,0.0000,1.0000
2018-10-12,71.4500,73.7600,70.4300,73.5000,73.1098,9722766,0.0000,1.0000
2018-10-11,69.7535,74.3800,69.6900,70.9000,70.5236,15407157,0.0000,1.0000
2018-10-10,73.5600,74.2250,72.3100,72.3100,71.9261,8011184,0.0000,1.0000
2018-10-09,73.5600,73.8200,72.9100,73.5600,73.1695,5194777,0.0000,1.0000
2018-10-08,72.5000,74.5500,72.4900,74.1500,73.7563,6482021,0.0000,1.0000
2018-10-05,73.0900,73.4700,72.1400,72.5100,72.1251,5663537,0.0000,1.0000
2018-10-04,73.6900,74.1289,72.9100,73.3400,72.9506,3832751,0.0000,1.0000
2018-10-03,73.7000,74.2686,73.4900,73.8000,73.4082,6075375,0.0000,1.0000
2018-10-02,72.3000,73.7700,72.0100,73.4900,73.0999,3842923,0.0000,1.0000
2018-10-01,72.8800,73.6000,72.3700,72.4600,72.0753,5408571,0.0000,1.0000
2018-09-28,73.8200,74.0000,72.7500,72.9000,72.5130,4871240,0.0000,1.0000
2018-09-27,72.9600,74.5700,72.5100,73.8100,73.4182,4111727,0.0000,1.0000
2018-09-26,72.4200,73.7000,72.2700,72.9600,72.5727,5742903,0.0000,1.0000
2018-09-25,72.7700,72.9511,71.8300,72.2100,71.8266,3111208,0.0000,1.0000
2018-09-24,72.5600,72.6700,71.7550,72.2000,71.8167,3556786,0.0000,1.0000
2018-09-21,73.2000,73.2000,71.9400,73.0000,72.6125,8826472,0.0000,1.0000
2018-09-20,71.5200,72.9800,71.5200,72.8900,72.5030,5279627,0.0000,1.0000
2018-09-19,71.0100,72.0400,70.8900,71.2800,70.9016,4552528,0.0000,1.0000
