timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-06,47.8400,48.9500,47.7000,48.4400,48.4400,3041921,0.0000,1.0000
2018-08-03,47.3700,48.0400,47.0740,47.7300,47.7300,1294508,0.0000,1.0000
2018-08-02,47.0900,47.2950,46.3800,47.2400,47.2400,1769055,0.0000,1.0000
2018-08-01,47.5400,47.8900,46.7000,47.1700,47.1700,2663513,0.0000,1.0000
2018-07-31,47.8700,48.3100,47.3100,48.1100,48.1100,1523493,0.0000,1.0000
2018-07-30,46.7000,47.9100,46.6200,47.6900,47.6900,1589354,0.0000,1.0000
2018-07-27,46.9000,47.3500,46.8000,47.2800,47.2800,2087056,0.0000,1.0000
2018-07-26,46.8700,47.1900,46.4400,46.9900,46.9900,1641156,0.0000,1.0000
2018-07-25,46.8100,46.9700,46.3000,46.7900,46.7900,1334474,0.0000,1.0000
2018-07-24,46.3200,47.0000,46.2800,46.7300,46.7300,1721308,0.0000,1.0000
2018-07-23,44.8600,48.3100,44.6836,46.5300,46.5300,4209633,0.0000,1.0000
2018-07-20,45.4600,45.5100,44.7700,45.0300,45.0300,1840441,0.0000,1.0000
2018-07-19,44.7500,45.8300,44.1650,45.3400,45.3400,3026154,0.0000,1.0000
2018-07-18,45.4600,45.5300,43.9800,44.2400,44.2400,3584375,0.0000,1.0000
2018-07-17,44.6800,45.7200,44.6550,45.7000,45.7000,1408354,0.0000,1.0000
2018-07-16,45.4000,45.4000,44.5400,44.7200,44.7200,2619001,0.0000,1.0000
2018-07-13,45.4800,45.8336,45.2850,45.3500,45.3500,1124317,0.0000,1.0000
2018-07-12,45.0700,45.5000,44.9000,45.4100,45.4100,1436349,0.0000,1.0000
2018-07-11,44.3100,45.4000,44.3100,44.9000,44.9000,1172653,0.0000,1.0000
2018-07-10,45.9100,45.9100,45.0600,45.5400,45.5400,2174212,0.0000,1.0000
2018-07-09,45.3100,46.0600,45.3100,45.8100,45.8100,2151667,0.0000,1.0000
2018-07-06,45.0900,45.7600,45.0300,45.3800,45.3800,1765195,0.0000,1.0000
2018-07-05,44.7600,45.0400,44.3500,44.9100,44.9100,3016951,0.0000,1.0000
2018-07-03,44.1900,44.8200,43.8050,44.5300,44.5300,1436179,0.0000,1.0000
2018-07-02,43.6600,44.0700,42.9121,43.9800,43.9800,1911115,0.0000,1.0000
2018-06-29,43.2100,44.0200,43.2100,43.7700,43.7700,1440907,0.0000,1.0000
2018-06-28,43.9700,43.9700,43.1000,43.6400,43.6400,2272145,0.0875,1.0000
2018-06-27,44.2800,44.7600,43.9500,43.9600,43.8720,2513043,0.0000,1.0000
2018-06-26,44.7300,44.7650,44.2400,44.2800,44.1914,2010495,0.0000,1.0000
2018-06-25,45.0000,45.2400,44.3600,44.7400,44.6505,1726324,0.0000,1.0000
2018-06-22,44.6400,45.1800,44.4600,44.9500,44.8601,2287279,0.0000,1.0000
2018-06-21,45.3200,45.6200,44.3800,44.5700,44.4808,2510596,0.0000,1.0000
2018-06-20,44.9600,45.5200,44.8350,45.1300,45.0397,2234247,0.0000,1.0000
2018-06-19,44.5500,45.3700,44.1000,45.0100,44.9199,2733320,0.0000,1.0000
2018-06-18,44.5400,45.3250,44.4500,44.7200,44.6305,4179646,0.0000,1.0000
2018-06-15,44.9800,45.5700,44.4900,44.9400,44.8501,5257920,0.0000,1.0000
2018-06-14,44.5200,45.2900,43.9750,44.8900,44.8002,3924781,0.0000,1.0000
2018-06-13,44.0900,44.6700,43.7100,44.5100,44.4209,2819529,0.0000,1.0000
2018-06-12,43.4700,44.2050,42.8395,44.1800,44.0916,2135370,0.0000,1.0000
2018-06-11,42.7800,43.5850,42.7250,43.4000,43.3132,1854274,0.0000,1.0000
2018-06-08,43.0300,43.1000,42.7100,42.9600,42.8740,1598738,0.0000,1.0000
2018-06-07,43.0400,43.8700,42.4600,43.1100,43.0237,2493537,0.0000,1.0000
2018-06-06,42.3200,43.2600,42.1300,43.0100,42.9239,2714045,0.0000,1.0000
2018-06-05,42.9500,43.2400,41.6400,42.2900,42.2054,4154253,0.0000,1.0000
2018-06-04,43.5300,44.3500,43.1700,43.9400,43.8521,3454370,0.0000,1.0000
2018-06-01,43.9400,44.3600,43.1800,43.4200,43.3331,3232779,0.0000,1.0000
2018-05-31,45.5400,45.5400,43.7000,43.8100,43.7223,3201761,0.0000,1.0000
2018-05-30,46.1100,46.2700,45.4000,45.4500,45.3591,3229728,0.0000,1.0000
2018-05-29,46.3400,46.4600,45.1200,45.8100,45.7183,2787192,0.0000,1.0000
2018-05-25,46.2800,46.8600,46.1800,46.5700,46.4768,2320745,0.0000,1.0000
2018-05-24,46.4900,46.5013,45.6200,46.2100,46.1175,3393648,0.0000,1.0000
2018-05-23,46.8400,46.9400,46.3000,46.5000,46.4070,2450649,0.0000,1.0000
2018-05-22,47.4400,47.5900,47.1600,47.2500,47.1555,1429355,0.0000,1.0000
2018-05-21,47.6500,47.8250,46.9300,47.2000,47.1056,1835008,0.0000,1.0000
