timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-07,7.0150,7.0150,6.8950,6.9850,6.9850,73930,0.0000,1.0000
2018-08-06,7.0100,7.1050,6.8650,6.9700,6.9700,239386,0.0000,1.0000
2018-08-03,7.0600,7.1950,7.0400,7.0850,7.0850,101998,0.0000,1.0000
2018-08-02,7.1050,7.1400,7.0750,7.0750,7.0750,90019,0.0000,1.0000
2018-08-01,7.2100,7.2600,7.0650,7.1800,7.1800,121276,0.0000,1.0000
2018-07-31,7.2250,7.2800,7.0600,7.1950,7.1950,170167,0.0000,1.0000
2018-07-30,7.3750,7.3900,7.2250,7.2250,7.2250,178093,0.0000,1.0000
2018-07-27,7.1900,7.4800,7.1800,7.3900,7.3900,344062,0.0000,1.0000
2018-07-26,7.1800,7.2600,7.0400,7.2000,7.2000,175364,0.0000,1.0000
2018-07-25,7.2350,7.3150,7.0300,7.1700,7.1700,297812,0.0000,1.0000
2018-07-24,7.1550,7.2800,7.1000,7.2550,7.2550,358612,0.0000,1.0000
2018-07-23,7.1550,7.3100,6.9250,7.1250,7.1250,359982,0.0000,1.0000
2018-07-20,7.1000,7.2900,7.0250,7.2300,7.2300,735429,0.0000,1.0000
2018-07-19,6.3400,6.9700,6.3100,6.9600,6.9600,388071,0.0000,1.0000
2018-07-18,6.3950,6.7900,6.3950,6.6600,6.6600,487191,0.0000,1.0000
2018-07-17,6.3550,6.4200,6.3150,6.3550,6.3550,38087,0.0000,1.0000
2018-07-16,6.3150,6.4050,6.3100,6.3550,6.3550,62465,0.0000,1.0000
2018-07-13,6.3450,6.3850,6.2700,6.3300,6.3300,65997,0.0000,1.0000
2018-07-12,6.3100,6.3500,6.1850,6.3250,6.3250,75707,0.0000,1.0000
2018-07-11,6.2150,6.3350,6.2100,6.3100,6.3100,87801,0.0000,1.0000
2018-07-10,6.3350,6.3350,6.2600,6.2750,6.2750,59278,0.0000,1.0000
2018-07-09,6.1900,6.3500,6.1900,6.2900,6.2900,61249,0.0000,1.0000
2018-07-06,6.2250,6.3450,6.1600,6.2800,6.2800,109686,0.0000,1.0000
2018-07-05,6.3800,6.4050,6.2050,6.2250,6.2250,46903,0.0000,1.0000
