timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,23.7500,24.1500,23.0000,24.0000,24.0000,37638,0.0000,1.0000
2018-08-30,24.0000,24.4500,23.4000,23.8500,23.8500,134604,0.0000,1.0000
2018-08-29,22.4500,23.6000,22.4500,23.4000,23.4000,62206,0.0000,1.0000
2018-08-28,22.5500,22.9000,22.3500,22.5000,22.5000,42607,0.0000,1.0000
2018-08-27,22.2500,22.6500,22.2500,22.6000,22.6000,47601,0.0000,1.0000
2018-08-24,22.5000,22.5500,22.1000,22.1500,22.1500,26487,0.0000,1.0000
2018-08-23,22.6000,22.9500,22.5000,22.5000,22.5000,28476,0.0000,1.0000
2018-08-22,23.5000,23.6500,22.4000,22.4500,22.4500,48006,0.0000,1.0000
2018-08-21,23.8500,24.0000,23.3000,23.4500,23.4500,58639,0.0000,1.0000
2018-08-20,22.5500,23.9000,22.5000,23.8500,23.8500,70825,0.0000,1.0000
2018-08-17,23.1000,23.1000,22.0000,22.4500,22.4500,53069,0.0000,1.0000
2018-08-16,23.2500,23.3500,22.6500,23.0000,23.0000,62941,0.0000,1.0000
2018-08-15,23.4500,23.5500,22.5000,23.1000,23.1000,98493,0.0000,1.0000
2018-08-14,24.4500,24.5000,23.2500,23.6500,23.6500,73520,0.0000,1.0000
2018-08-13,24.7000,24.8500,24.1500,24.4500,24.4500,45204,0.0000,1.0000
2018-08-10,24.5000,24.8500,24.3000,24.8000,24.8000,47445,0.0000,1.0000
2018-08-09,26.1500,26.5500,24.1000,24.5000,24.5000,124554,0.0000,1.0000
2018-08-08,25.8000,26.5500,25.3500,25.8000,25.8000,64571,0.0000,1.0000
2018-08-07,25.4000,25.5500,25.2000,25.5000,25.5000,25591,0.0000,1.0000
2018-08-06,25.6000,25.9000,25.1000,25.5500,25.5500,35328,0.0000,1.0000
2018-08-03,26.0000,26.0000,25.0000,25.5000,25.5000,72586,0.0000,1.0000
2018-08-02,24.0000,25.9000,23.6500,25.9000,25.9000,183519,0.0000,1.0000
2018-08-01,24.6000,24.6000,23.3000,24.0000,24.0000,154317,0.0000,1.0000
2018-07-31,26.0500,26.0500,24.4000,24.7000,24.7000,135966,0.0000,1.0000
2018-07-30,26.3000,26.5500,25.9500,26.0000,26.0000,51594,0.0000,1.0000
2018-07-27,25.9000,26.9500,25.9000,26.5500,26.5500,183530,0.0000,1.0000
2018-07-26,28.6000,28.7500,25.5000,25.9000,25.9000,265764,0.0000,1.0000
2018-07-25,30.7500,30.7500,28.5500,28.7500,28.7500,73403,0.0000,1.0000
2018-07-24,30.6500,31.1000,30.4000,30.6500,30.6500,42320,0.0000,1.0000
2018-07-23,30.5000,30.6500,30.0500,30.5500,30.5500,13851,0.0000,1.0000
2018-07-20,30.6500,30.9500,30.1500,30.7000,30.7000,55584,0.0000,1.0000
2018-07-19,31.0500,31.2000,30.3000,30.6000,30.6000,29650,0.0000,1.0000
2018-07-18,30.8000,31.3000,30.5000,30.9500,30.9500,34423,0.0000,1.0000
2018-07-17,30.7500,31.0000,30.0500,30.8500,30.8500,51937,0.0000,1.0000
2018-07-16,31.0500,31.1000,30.7000,30.9500,30.9500,21914,0.0000,1.0000
2018-07-13,31.7500,31.7500,31.0000,31.0000,31.0000,22943,0.0000,1.0000
2018-07-12,31.4000,32.1000,31.0500,31.5500,31.5500,49963,0.0000,1.0000
2018-07-11,31.8000,31.8000,31.3000,31.4000,31.4000,15690,0.0000,1.0000
2018-07-10,31.9500,32.0500,31.4500,32.0500,32.0500,17760,0.0000,1.0000
2018-07-09,32.0000,32.9500,31.6500,31.8500,31.8500,30316,0.0000,1.0000
2018-07-06,32.5000,32.5000,31.4500,31.7000,31.7000,32609,0.0000,1.0000
2018-07-05,32.1500,32.2000,31.4000,32.1000,32.1000,31595,0.0000,1.0000
2018-07-04,32.2500,32.2500,31.3000,31.5000,31.5000,17739,0.0000,1.0000
2018-07-03,32.0500,32.2500,31.8000,31.9500,31.9500,24679,0.0000,1.0000
2018-07-02,32.5500,32.5500,31.7000,32.0000,32.0000,18002,0.0000,1.0000
2018-06-29,31.6500,32.9500,31.5500,32.7000,32.7000,83669,0.0000,1.0000
2018-06-28,31.8000,32.3000,31.2000,31.6000,31.6000,34182,0.0000,1.0000
2018-06-27,32.5500,32.6500,31.7000,32.0000,32.0000,66542,0.0000,1.0000
2018-06-26,32.0500,32.5500,32.0000,32.5500,32.5500,21760,0.0000,1.0000
2018-06-25,32.5000,32.6500,32.0000,32.1000,32.1000,25611,0.0000,1.0000
2018-06-22,32.4000,33.0000,32.0000,32.5000,32.5000,41182,0.0000,1.0000
2018-06-21,34.0500,34.2000,32.2000,32.2000,32.2000,64931,0.0000,1.0000
2018-06-20,34.3000,34.8500,33.9000,33.9500,33.9500,29521,0.0000,1.0000
2018-06-19,34.5000,34.5000,33.5000,34.0500,34.0500,54130,0.0000,1.0000
2018-06-18,35.6000,35.6000,34.4500,34.8500,34.8500,26669,0.0000,1.0000
2018-06-15,36.0500,36.0500,35.0000,35.3500,35.3500,63227,0.0000,1.0000
2018-06-14,36.9000,36.9000,35.4500,35.7500,35.7500,61787,0.0000,1.0000
2018-06-13,35.8500,37.3500,35.3000,36.9000,36.9000,167236,0.0000,1.0000
2018-06-12,34.8000,35.6500,34.7000,35.0500,35.0500,31917,0.0000,1.0000
2018-06-11,34.7500,35.0000,34.4000,34.7500,34.7500,12307,0.0000,1.0000
2018-06-08,34.6000,35.3000,34.2500,34.8000,34.8000,17587,0.0000,1.0000
2018-06-07,34.3000,35.7000,34.2000,34.8000,34.8000,47039,0.0000,1.0000
2018-06-06,35.0000,35.7500,34.3000,34.8500,34.8500,33221,0.0000,1.0000
2018-06-05,34.8000,35.8000,34.6000,35.6500,35.6500,70834,0.0000,1.0000
2018-06-04,34.2000,34.7000,34.1500,34.7000,34.7000,14906,0.0000,1.0000
2018-06-01,34.4500,34.5500,33.7000,34.1000,34.1000,19363,0.0000,1.0000
2018-05-31,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000
2018-05-30,32.3000,33.0500,32.1500,33.0500,33.0500,20253,0.0000,1.0000
2018-05-29,32.6500,32.7500,32.0000,32.5000,32.5000,12813,0.0000,1.0000
2018-05-28,32.9500,33.0500,32.3000,32.5500,32.5500,11287,0.0000,1.0000
2018-05-25,33.1500,33.3500,32.2500,32.8500,32.8500,18947,0.0000,1.0000
2018-05-24,32.8000,33.0000,32.5500,32.7500,32.7500,20062,0.0000,1.0000
2018-05-23,34.5000,34.5000,32.9000,32.9500,32.9500,25940,0.0000,1.0000
2018-05-22,33.5500,34.3500,33.5000,34.1000,34.1000,20927,0.0000,1.0000
2018-05-21,33.4000,33.4000,33.4000,33.4000,33.4000,0,0.0000,1.0000
2018-05-18,34.1000,34.5000,33.4000,33.4000,33.4000,34867,0.0000,1.0000
2018-05-17,34.2000,34.7000,34.0000,34.0000,34.0000,25819,0.0000,1.0000
2018-05-16,33.7500,34.8500,33.7500,34.4500,34.4500,31935,0.0000,1.0000
2018-05-15,33.5000,34.3500,33.5000,34.0000,34.0000,59494,0.0000,1.0000
2018-05-14,34.8000,34.8000,33.1500,33.3000,33.3000,49114,0.0000,1.0000
2018-05-11,33.8500,35.5500,33.6500,35.0000,35.0000,119517,0.0000,1.0000
2018-05-10,31.7500,33.0500,31.7000,33.0500,33.0500,77033,0.0000,1.0000
2018-05-09,31.2500,31.2500,30.3000,30.6500,30.6500,70177,0.0000,1.0000
2018-05-08,31.7000,31.8000,30.8000,30.9000,30.9000,42947,0.0000,1.0000
2018-05-07,31.2000,32.0500,31.2000,31.7000,31.7000,49783,0.0000,1.0000
2018-05-04,31.5000,32.0500,31.1500,31.1500,31.1500,23275,0.0000,1.0000
2018-05-03,32.1500,32.2500,31.3000,31.3000,31.3000,33389,0.0000,1.0000
2018-05-02,33.2000,33.2000,31.8500,32.2500,32.2500,51826,0.0000,1.0000
2018-04-30,32.4500,33.6000,32.0000,33.5000,33.5000,55287,0.0000,1.0000
2018-04-27,31.6000,32.3000,31.2500,32.2500,32.2500,42470,0.0000,1.0000
2018-04-26,31.6000,31.9500,31.1500,31.4500,31.4500,21327,0.0000,1.0000
2018-04-25,32.8000,32.8000,31.5500,31.5500,31.5500,30084,0.0000,1.0000
2018-04-24,34.3500,34.3500,32.1500,33.0500,33.0500,39254,0.0000,1.0000
2018-04-23,35.9500,36.4000,32.9500,34.1000,34.1000,57673,0.0000,1.0000
2018-04-20,34.7000,35.7000,34.0500,35.7000,35.7000,45670,0.0000,1.0000
2018-04-19,34.3000,34.7500,34.1000,34.4500,34.4500,28826,0.0000,1.0000
