timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,89.3000,89.6500,87.3000,89.6500,89.6500,89912,0.0000,1.0000
2018-08-30,89.5500,89.9000,88.6000,89.6500,89.6500,87475,0.0000,1.0000
2018-08-29,89.4500,89.5000,88.9500,89.4000,89.4000,100014,0.0000,1.0000
2018-08-28,89.7000,90.1000,88.5500,89.1000,89.1000,88187,0.0000,1.0000
2018-08-27,89.4500,90.0500,88.8500,89.2500,89.2500,186485,0.0000,1.0000
2018-08-24,87.4500,89.5500,86.9500,89.1000,89.1000,154283,0.0000,1.0000
2018-08-23,87.2500,87.9500,87.2000,87.5000,87.5000,71582,0.0000,1.0000
2018-08-22,87.1000,87.7500,85.9500,87.2500,87.2500,105699,0.0000,1.0000
2018-08-21,87.6000,88.1500,86.1500,87.0500,87.0500,96850,0.0000,1.0000
2018-08-20,88.0000,88.1000,87.1500,87.5000,87.5000,109066,0.0000,1.0000
2018-08-17,87.1000,88.5500,86.8000,87.5500,87.5500,94923,0.0000,1.0000
2018-08-16,86.9500,87.9000,86.1500,87.0000,87.0000,87156,0.0000,1.0000
2018-08-15,86.6000,88.1500,85.9500,86.4500,86.4500,148187,0.0000,1.0000
2018-08-14,84.0500,86.2000,83.8000,86.0000,86.0000,123245,0.0000,1.0000
2018-08-13,82.8500,83.8000,82.0500,83.5500,83.5500,101159,0.0000,1.0000
2018-08-10,81.5000,84.1500,81.3500,83.0000,83.0000,228745,0.0000,1.0000
2018-08-09,78.7500,79.4000,77.5000,79.1000,79.1000,96105,0.0000,1.0000
2018-08-08,77.9500,78.7500,77.7000,78.7000,78.7000,64850,0.0000,1.0000
2018-08-07,78.0000,78.5500,77.7500,77.9500,77.9500,46627,0.0000,1.0000
2018-08-06,78.0000,79.1000,77.3000,77.8000,77.8000,49630,0.0000,1.0000
2018-08-03,77.6000,78.6500,77.3500,77.6000,77.6000,39958,0.0000,1.0000
2018-08-02,76.1000,77.8500,76.0500,77.4500,77.4500,48751,0.0000,1.0000
2018-08-01,77.5000,77.5000,76.2000,76.3500,76.3500,52379,0.0000,1.0000
2018-07-31,77.2000,77.5000,76.4000,76.7500,76.7500,67533,0.0000,1.0000
2018-07-30,77.7500,78.4500,77.3500,77.4000,77.4000,42945,0.0000,1.0000
2018-07-27,77.9500,78.7000,77.7000,78.1500,78.1500,68697,0.0000,1.0000
2018-07-26,78.0000,78.4000,77.4500,77.9500,77.9500,112062,0.0000,1.0000
2018-07-25,77.2500,78.9500,76.8000,77.9500,77.9500,117191,0.0000,1.0000
2018-07-24,75.5500,77.9000,75.5500,77.0000,77.0000,103834,0.0000,1.0000
2018-07-23,74.4500,75.4000,74.1500,74.9000,74.9000,114079,0.0000,1.0000
2018-07-20,74.9000,75.4000,74.3500,74.6000,74.6000,38209,0.0000,1.0000
2018-07-19,75.7000,75.7000,74.5500,75.0000,75.0000,55489,0.0000,1.0000
2018-07-18,75.4500,76.2000,75.3500,75.6000,75.6000,49371,0.0000,1.0000
2018-07-17,74.2000,75.2000,73.8000,74.8000,74.8000,52866,0.0000,1.0000
2018-07-16,73.9000,74.4000,73.6500,74.0500,74.0500,41528,0.0000,1.0000
2018-07-13,74.5000,74.7500,73.6000,73.7500,73.7500,62233,0.0000,1.0000
2018-07-12,72.0000,74.1000,71.8500,73.9500,73.9500,222069,0.0000,1.0000
2018-07-11,69.4500,74.0000,69.4500,71.3500,71.3500,179727,0.0000,1.0000
2018-07-10,69.5000,69.9500,68.8000,69.7500,69.7500,68991,0.0000,1.0000
2018-07-09,69.2000,69.4500,68.6500,69.1500,69.1500,90601,0.0000,1.0000
2018-07-06,68.4500,69.2000,67.7000,68.9000,68.9000,65455,0.0000,1.0000
2018-07-05,67.2500,68.5000,67.2500,68.0000,68.0000,57769,0.0000,1.0000
2018-07-04,67.9000,68.1000,67.0500,67.3000,67.3000,40334,0.0000,1.0000
2018-07-03,68.9000,68.9000,67.3000,68.1000,68.1000,69635,0.0000,1.0000
2018-07-02,65.3000,68.4000,65.1000,68.3000,68.3000,112135,0.0000,1.0000
2018-06-29,66.2000,66.5500,65.7000,66.1000,66.1000,90544,0.0000,1.0000
2018-06-28,67.9000,68.0500,65.3000,65.6500,65.6500,77597,0.0000,1.0000
2018-06-27,67.7500,68.4000,67.0500,67.6000,67.6000,51657,0.0000,1.0000
2018-06-26,67.6500,68.1500,67.2500,67.7000,67.7000,48634,0.0000,1.0000
2018-06-25,68.0500,68.9500,67.5500,67.5500,67.5500,61398,0.0000,1.0000
