timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,38.7600,39.2000,37.8000,38.2600,38.2600,361037,0.0000,1.0000
2018-08-30,39.7600,40.1600,38.8200,38.8200,38.8200,128557,0.0000,1.0000
2018-08-29,40.1000,40.6200,39.5600,39.7000,39.7000,118059,0.0000,1.0000
2018-08-28,39.7400,40.7200,39.7200,40.2200,40.2200,218602,0.0000,1.0000
2018-08-27,39.5000,39.9400,39.1200,39.8000,39.8000,66713,0.0000,1.0000
2018-08-24,40.4800,40.7200,39.0800,39.5400,39.5400,181902,0.0000,1.0000
2018-08-23,40.4800,41.3000,40.3600,40.5400,40.5400,78156,0.0000,1.0000
2018-08-22,40.6200,40.7600,40.1200,40.5400,40.5400,80991,0.0000,1.0000
2018-08-21,39.7000,40.6600,39.4400,40.3800,40.3800,93731,0.0000,1.0000
2018-08-20,39.9800,40.3000,39.4000,39.6000,39.6000,95431,0.0000,1.0000
2018-08-17,39.7600,40.8000,39.4400,39.6200,39.6200,159991,0.0000,1.0000
2018-08-16,40.6000,41.5600,39.5200,39.6600,39.6600,217881,0.0000,1.0000
2018-08-15,39.1200,41.3200,38.9200,40.0400,40.0400,317176,0.0000,1.0000
2018-08-14,43.0000,43.1000,38.7800,39.1200,39.1200,631316,0.0000,1.0000
2018-08-13,41.1800,43.8800,40.6800,43.1000,43.1000,236408,0.0000,1.0000
2018-08-10,42.8400,43.1600,40.6200,41.7000,41.7000,227275,0.0000,1.0000
2018-08-09,43.2800,44.1800,42.7800,43.3800,43.3800,201125,0.0000,1.0000
2018-08-08,44.1200,44.1200,42.3000,43.3000,43.3000,250415,0.0000,1.0000
2018-08-07,44.8000,45.5600,44.1600,44.2600,44.2600,132897,0.0000,1.0000
2018-08-06,45.8600,46.6000,44.8800,44.9800,44.9800,163909,0.0000,1.0000
2018-08-03,47.1200,47.4200,45.5000,45.6600,45.6600,90596,0.0000,1.0000
2018-08-02,46.2800,47.3200,45.5000,46.9400,46.9400,75272,0.0000,1.0000
2018-08-01,46.3000,47.6800,45.7800,46.4000,46.4000,87539,0.0000,1.0000
2018-07-31,46.8600,47.5000,46.1600,46.2800,46.2800,99005,0.0000,1.0000
2018-07-30,49.1000,49.1000,46.6000,46.7400,46.7400,88754,0.0000,1.0000
2018-07-27,47.8000,49.8800,47.5800,49.5000,49.5000,143150,0.0000,1.0000
2018-07-26,47.4800,48.0600,47.0400,47.6000,47.6000,71150,0.0000,1.0000
2018-07-25,48.2400,48.5200,46.9200,47.1200,47.1200,118771,0.0000,1.0000
2018-07-24,47.2000,48.0800,47.0000,48.0800,48.0800,98699,0.0000,1.0000
2018-07-23,46.4800,47.0400,45.7600,46.6600,46.6600,119183,0.0000,1.0000
2018-07-20,48.9600,48.9600,46.7400,46.8400,46.8400,140048,0.0000,1.0000
2018-07-19,50.1500,50.1500,48.4200,48.7200,48.7200,90516,0.0000,1.0000
2018-07-18,51.0000,52.0500,49.9200,49.9800,49.9800,122143,0.0000,1.0000
2018-07-17,49.5000,50.3500,49.0400,50.2500,50.2500,105455,0.0000,1.0000
2018-07-16,48.5000,49.7200,47.4600,48.8200,48.8200,113534,0.0000,1.0000
2018-07-13,46.8750,48.3750,46.4500,48.2500,48.2500,135906,0.0000,1.0000
2018-07-12,46.1000,46.8750,45.9000,46.8750,46.8750,100528,0.0000,1.0000
2018-07-11,46.0000,46.4000,45.3500,46.0500,46.0500,110458,0.0000,1.0000
2018-07-10,45.9250,46.6750,45.8750,46.3000,46.3000,93308,0.0000,1.0000
2018-07-09,45.5750,45.9750,45.2250,45.8500,45.8500,110422,0.0000,1.0000
2018-07-06,45.1000,45.4750,44.6750,45.2250,45.2250,80214,0.0000,1.0000
2018-07-05,43.2500,44.8250,43.2500,44.7500,44.7500,80216,0.0000,1.0000
2018-07-04,44.6250,44.6250,43.1500,43.2500,43.2500,130150,0.0000,1.0000
2018-07-03,43.4500,45.1250,43.4250,44.7000,44.7000,150350,0.0000,1.0000
2018-07-02,42.5500,44.0000,42.2750,43.6750,43.6750,161164,0.0000,1.0000
2018-06-29,43.2500,44.5000,43.1500,43.7500,43.7500,117502,0.0000,1.0000
2018-06-28,44.3500,44.6500,42.7000,42.9500,42.9500,126126,0.0000,1.0000
2018-06-27,44.5000,44.8000,43.4000,44.2000,44.2000,158288,0.0000,1.0000
2018-06-26,42.5250,44.5750,42.5250,44.4500,44.4500,186848,0.0000,1.0000
2018-06-25,44.1000,44.6000,42.8250,42.8250,42.8250,176170,0.0000,1.0000
2018-06-22,44.2000,46.3500,43.8250,44.4000,44.4000,138680,0.0000,1.0000
2018-06-21,46.2250,46.3000,44.1000,44.2500,44.2500,142888,0.0000,1.0000
2018-06-20,45.8250,46.5500,45.7000,46.2000,46.2000,102286,0.0000,1.0000
2018-06-19,47.1500,47.2250,45.3000,45.7250,45.7250,157216,0.0000,1.0000
2018-06-18,46.9750,47.6000,46.6250,47.6000,47.6000,73520,0.0000,1.0000
2018-06-15,48.6250,48.6250,46.7000,46.7000,46.7000,150158,0.0000,1.0000
2018-06-14,48.5000,48.8750,47.9500,48.8750,47.8750,81736,0.0000,1.0000
2018-06-13,47.7750,48.6750,47.6000,48.5250,47.5322,148214,0.0000,1.0000
2018-06-12,48.0750,48.2750,47.2250,47.8750,46.8955,57470,0.0000,1.0000
2018-06-11,47.3750,48.2250,47.3750,47.7250,46.7485,47648,0.0000,1.0000
2018-06-08,46.6000,47.5750,46.1500,47.3250,46.3567,114584,0.0000,1.0000
2018-06-07,48.3500,48.6250,46.9250,46.9250,45.9649,83238,0.0000,1.0000
2018-06-06,48.5250,48.6250,47.3250,48.2000,47.2138,121456,0.0000,1.0000
2018-06-05,49.2250,49.4250,48.4500,48.5750,47.5811,97276,0.0000,1.0000
2018-06-04,49.3250,49.4000,48.1000,48.7750,47.7770,104874,0.0000,1.0000
2018-06-01,48.7000,49.0000,47.5250,48.6000,47.6056,238294,0.0000,1.0000
2018-05-31,48.1750,48.6000,47.4750,48.6000,47.6056,252390,0.0000,1.0000
2018-05-30,47.4250,47.9750,47.0500,47.9500,46.9689,132552,0.0000,1.0000
2018-05-29,47.2500,47.7750,46.0250,47.3500,46.3812,224636,0.0000,1.0000
2018-05-28,48.4000,48.4500,47.5000,48.0000,47.0179,95508,0.0000,1.0000
2018-05-25,47.2750,47.8500,46.9500,47.7500,46.7730,166682,0.0000,1.0000
2018-05-24,46.2000,46.9750,46.0250,46.9750,46.0139,148326,0.0000,1.0000
2018-05-23,47.3750,47.3750,46.0250,46.2000,45.2547,183450,0.0000,1.0000
2018-05-22,47.0750,47.5500,46.1000,47.1250,46.1608,289206,0.0000,1.0000
2018-05-21,46.3500,46.3500,46.3500,46.3500,45.4017,0,0.0000,1.0000
2018-05-18,45.4500,47.7000,45.4500,46.3500,45.4017,323620,0.0000,1.0000
2018-05-17,46.2000,46.5500,44.0250,45.4500,44.5201,606824,0.0000,1.0000
2018-05-16,49.9000,49.9750,47.2250,47.3250,46.3567,246698,0.0000,1.0000
2018-05-15,47.7250,49.5750,46.1000,49.2000,48.1934,410780,0.0000,1.0000
2018-05-14,51.2500,51.4500,47.4250,47.9500,46.9689,430664,0.0000,1.0000
2018-05-11,51.5500,51.9000,51.1000,51.5000,50.4463,117704,0.0000,1.0000
2018-05-10,50.5500,51.6500,49.9250,51.4500,50.3973,136522,0.0000,1.0000
2018-05-09,49.7000,51.7000,49.4750,50.4500,49.4178,285876,0.0000,1.0000
2018-05-08,50.0000,50.1500,47.5000,50.0500,49.0260,493218,0.0000,1.0000
2018-05-07,51.0500,52.6000,51.0500,52.4000,51.3279,228202,0.0000,1.0000
2018-05-04,51.0000,52.1500,50.0500,51.1500,50.1035,423196,0.0000,1.0000
2018-05-03,50.6500,51.5000,50.1000,51.5000,50.4463,192364,0.0000,1.0000
2018-05-02,48.9750,50.7500,48.9750,50.7000,49.6627,257730,0.0000,1.0000
2018-04-30,48.9250,48.9250,47.8250,48.8500,47.8505,152220,0.0000,1.0000
2018-04-27,49.0000,49.0000,47.9500,48.6500,47.6546,209672,0.0000,1.0000
2018-04-26,47.3750,48.6000,46.9500,48.6000,47.6056,201866,0.0000,1.0000
2018-04-25,47.3000,47.6500,46.5250,47.1000,46.1363,170790,0.0000,1.0000
2018-04-24,45.9250,47.8750,45.7500,47.5500,46.5771,231396,0.0000,1.0000
2018-04-23,45.7000,46.5000,45.5750,45.8500,44.9119,235360,0.0000,1.0000
2018-04-20,46.5250,46.8750,45.0750,45.3750,44.4466,342062,0.0000,1.0000
2018-04-19,47.2000,47.2500,45.8000,46.5000,45.5486,138814,0.0000,1.0000
2018-04-18,47.2000,47.5750,46.7750,47.1000,46.1363,214936,0.0000,1.0000
2018-04-17,46.9000,47.5500,46.4500,47.4250,46.4547,308852,0.0000,1.0000
2018-04-16,47.1250,47.9000,46.4000,46.6000,45.6465,242894,0.0000,1.0000
2018-04-13,47.4500,47.5750,45.9000,46.9750,46.0139,299024,0.0000,1.0000
2018-04-12,47.4750,47.6500,46.3000,47.1250,46.1608,334648,0.0000,1.0000
2018-04-11,45.2500,47.6250,45.1750,47.5000,46.5281,666822,0.0000,1.0000
2018-04-10,46.0750,46.0750,44.6250,45.0000,44.0793,203346,0.0000,1.0000
2018-04-09,45.5500,45.9250,44.4000,45.8500,44.9119,226634,0.0000,1.0000
2018-04-06,43.5000,45.2750,43.2000,44.8750,43.9568,296694,0.0000,1.0000
2018-04-05,43.1750,44.2000,43.1000,43.7500,42.8549,224418,0.0000,1.0000
2018-04-04,44.4000,44.8750,42.4000,42.4250,41.5570,322700,0.0000,1.0000
2018-04-03,41.0000,44.7250,40.8000,44.5750,43.6630,384412,0.0000,1.0000
2018-03-29,41.0000,42.2250,40.7000,41.8250,40.9692,201186,0.0000,1.0000
2018-03-28,40.4750,40.4750,39.6000,40.4750,39.6469,296590,0.0000,1.0000
2018-03-27,40.0750,41.1500,40.0250,40.9000,40.0632,178398,0.0000,1.0000
2018-03-26,39.4750,39.8500,39.0750,39.3500,38.5449,160864,0.0000,1.0000
2018-03-23,38.0000,39.2000,37.5250,39.1000,38.3000,288362,0.0000,1.0000
2018-03-22,39.3500,39.5500,38.8500,39.0750,38.2755,150752,0.0000,1.0000
2018-03-21,40.0000,40.0250,39.2750,39.6250,38.8143,75232,0.0000,1.0000
2018-03-20,39.8000,40.2750,39.5000,39.9250,39.1081,96262,0.0000,1.0000
2018-03-19,39.9000,40.1500,39.3250,39.6500,38.8387,166172,0.0000,1.0000
2018-03-16,40.8750,40.8750,39.7250,39.9500,39.1326,642524,0.0000,1.0000
2018-03-15,40.6000,40.8500,39.6250,40.4750,39.6469,148418,0.0000,1.0000
2018-03-14,40.9250,41.4500,40.2500,40.3750,39.5489,159954,0.0000,1.0000
2018-03-13,40.5500,41.5000,40.2250,40.9250,40.0877,362560,0.0000,1.0000
2018-03-12,41.5250,41.5250,40.2250,40.3000,39.4754,152632,0.0000,1.0000
