timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,14.5200,14.6300,14.1500,14.2300,14.2300,201092,0.0000,1.0000
2018-08-30,14.5600,14.7000,14.2800,14.4700,14.4700,111934,0.0000,1.0000
2018-08-29,14.5900,14.8700,14.2100,14.4500,14.4500,221326,0.0000,1.0000
2018-08-28,15.1200,15.1200,14.2900,14.3900,14.3900,284437,0.0000,1.0000
2018-08-27,14.9100,15.2600,14.8300,15.1200,15.1200,127635,0.0000,1.0000
2018-08-24,15.3500,15.3700,14.8500,14.9000,14.9000,193344,0.0000,1.0000
2018-08-23,15.2700,15.5400,15.0300,15.3100,15.3100,320706,0.0000,1.0000
2018-08-22,14.8900,15.5500,14.7300,15.1500,15.1500,399445,0.0000,1.0000
2018-08-21,13.8800,14.8800,13.8300,14.8800,14.8800,775671,0.0000,1.0000
2018-08-20,13.4300,13.5200,13.2600,13.4700,13.4700,64117,0.0000,1.0000
2018-08-17,13.3800,13.4800,13.1300,13.3200,13.3200,57842,0.0000,1.0000
2018-08-16,13.4400,13.5500,13.1300,13.3800,13.3800,108617,0.0000,1.0000
2018-08-15,13.6600,13.7600,13.0200,13.0800,13.0800,138582,0.0000,1.0000
2018-08-14,13.9000,14.0900,13.5600,13.6700,13.6700,134146,0.0000,1.0000
2018-08-13,13.1900,13.8200,13.1200,13.7900,13.7900,112298,0.0000,1.0000
2018-08-10,13.8700,13.9000,13.1200,13.1500,13.1500,204461,0.0000,1.0000
2018-08-09,13.9700,14.2000,13.7700,13.8500,13.8500,109391,0.0000,1.0000
2018-08-08,13.4000,14.1400,13.4000,13.9900,13.9900,404394,0.0000,1.0000
2018-08-07,12.8400,13.3700,12.7600,13.3700,13.3700,191605,0.0000,1.0000
2018-08-06,12.5200,12.7500,12.5200,12.6200,12.6200,38642,0.0000,1.0000
2018-08-03,12.4400,12.8000,12.3700,12.6100,12.6100,46314,0.0000,1.0000
2018-08-02,12.5600,12.6400,12.3900,12.3900,12.3900,44097,0.0000,1.0000
2018-08-01,12.5700,12.7600,12.5000,12.5800,12.5800,59857,0.0000,1.0000
