timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,101.5000,102.0000,100.9000,101.7000,101.7000,146640,0.0000,1.0000
2018-08-30,102.0000,102.5000,101.0000,102.0000,102.0000,82388,0.0000,1.0000
2018-08-29,101.0000,102.5000,100.8000,102.1000,102.1000,79149,0.0000,1.0000
2018-08-28,102.0000,102.0000,100.1000,101.0000,101.0000,81535,0.0000,1.0000
2018-08-27,102.0000,102.6000,101.1000,101.9000,101.9000,84593,0.0000,1.0000
2018-08-24,101.8000,102.7000,100.2000,101.0000,101.0000,105836,0.0000,1.0000
2018-08-23,100.6000,102.5000,100.6000,102.2000,102.2000,110521,0.0000,1.0000
2018-08-22,98.7000,101.2000,97.5500,100.8000,100.8000,152029,0.0000,1.0000
2018-08-21,100.0000,101.1000,98.6500,100.6000,100.6000,92031,0.0000,1.0000
2018-08-20,98.7000,100.9000,98.7000,99.9500,99.9500,96287,0.0000,1.0000
2018-08-17,99.3500,100.3000,97.9000,98.8000,98.8000,113622,0.0000,1.0000
2018-08-16,97.7500,100.1000,97.7500,98.7000,98.7000,110172,0.0000,1.0000
2018-08-15,100.2000,101.9000,97.3500,97.8000,97.8000,227202,0.0000,1.0000
2018-08-14,105.5000,105.5000,100.3000,100.8000,100.8000,203501,0.0000,1.0000
2018-08-13,105.1000,106.5000,104.4000,105.7000,105.7000,71851,0.0000,1.0000
2018-08-10,106.5000,106.8000,105.4000,105.6000,105.6000,82856,0.0000,1.0000
2018-08-09,105.6000,107.3000,105.0000,107.0000,107.0000,87049,0.0000,1.0000
2018-08-08,107.3000,107.4000,105.4000,105.8000,105.8000,104337,0.0000,1.0000
2018-08-07,107.3000,108.3000,106.6000,107.0000,107.0000,105010,0.0000,1.0000
2018-08-06,105.1000,107.9000,105.0000,107.1000,107.1000,147352,0.0000,1.0000
2018-08-03,106.7000,107.9000,104.1000,105.0000,105.0000,218920,0.0000,1.0000
2018-08-02,112.0000,115.1000,107.7000,108.4000,108.4000,181190,0.0000,1.0000
2018-08-01,111.9000,115.8000,111.9000,113.9000,113.9000,146256,0.0000,1.0000
2018-07-31,114.0000,114.5000,110.6000,112.4000,112.4000,270474,0.0000,1.0000
2018-07-30,116.7000,117.6000,114.4000,114.7000,114.7000,197215,0.0000,1.0000
2018-07-27,119.5000,119.7000,118.3000,119.1000,119.1000,125732,0.0000,1.0000
