timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,8.9560,9.0480,8.8160,8.9160,8.9160,355707,0.0000,1.0000
2018-08-30,9.1320,9.1360,8.8620,8.9780,8.9780,334637,0.0000,1.0000
2018-08-29,9.2420,9.3000,9.1220,9.1360,9.1360,166950,0.0000,1.0000
2018-08-28,9.3080,9.5040,9.0840,9.2180,9.2180,400892,0.0000,1.0000
2018-08-27,9.3000,9.4540,9.2480,9.2760,9.2760,364110,0.0000,1.0000
2018-08-24,8.8140,9.2760,8.7900,9.2160,9.2160,478067,0.0000,1.0000
2018-08-23,8.6300,8.9360,8.5760,8.7940,8.7940,345752,0.0000,1.0000
2018-08-22,8.5420,8.6960,8.5100,8.5920,8.5920,163901,0.0000,1.0000
2018-08-21,8.3800,8.6400,8.3700,8.5100,8.5100,235784,0.0000,1.0000
2018-08-20,8.4700,8.5180,8.3400,8.3880,8.3880,209162,0.0000,1.0000
2018-08-17,8.3420,8.4620,8.3100,8.3540,8.3540,188304,0.0000,1.0000
2018-08-16,8.4000,8.5360,8.3100,8.3640,8.3640,483957,0.0000,1.0000
2018-08-15,8.6840,8.7640,8.3600,8.5180,8.5180,557117,0.0000,1.0000
2018-08-14,8.6000,8.6800,8.3100,8.6800,8.6800,1029977,0.0000,1.0000
2018-08-13,8.7620,8.8700,8.6700,8.8600,8.8600,339334,0.0000,1.0000
2018-08-10,8.9520,8.9520,8.7240,8.8400,8.8400,342697,0.0000,1.0000
2018-08-09,8.8940,9.0000,8.7180,8.9680,8.9680,403211,0.0000,1.0000
2018-08-08,9.0520,9.1600,8.6400,8.9060,8.9060,762064,0.0000,1.0000
2018-08-07,9.1840,9.3420,9.1300,9.1880,9.1880,243808,0.0000,1.0000
2018-08-06,9.4720,9.5000,9.0960,9.1700,9.1700,406278,0.0000,1.0000
2018-08-03,9.4100,9.5800,9.3200,9.5020,9.5020,253165,0.0000,1.0000
2018-08-02,9.6640,9.6780,9.3000,9.3680,9.3680,587091,0.0000,1.0000
2018-08-01,9.6720,9.8700,9.5280,9.7380,9.7380,367562,0.0000,1.0000
2018-07-31,9.7600,9.7600,9.4320,9.5980,9.5980,309937,0.0000,1.0000
2018-07-30,9.6620,9.7980,9.5700,9.6820,9.6820,202826,0.0000,1.0000
2018-07-27,9.6500,10.0350,9.6440,9.6460,9.6460,421647,0.0000,1.0000
2018-07-26,9.5120,9.6720,9.4600,9.6480,9.6480,191605,0.0000,1.0000
2018-07-25,9.3800,9.4840,9.3200,9.4300,9.4300,207897,0.0000,1.0000
2018-07-24,9.6060,9.6520,9.4020,9.4720,9.4720,217186,0.0000,1.0000
2018-07-23,9.6180,9.7560,9.5280,9.5400,9.5400,160105,0.0000,1.0000
2018-07-20,9.7280,9.8200,9.5140,9.6740,9.6740,235743,0.0000,1.0000
2018-07-19,9.8000,9.8340,9.6300,9.7360,9.7360,234518,0.0000,1.0000
2018-07-18,9.8120,9.9400,9.5860,9.7680,9.7680,421465,0.0000,1.0000
2018-07-17,9.7260,9.8700,9.5340,9.7780,9.7780,313028,0.0000,1.0000
2018-07-16,9.8980,10.0450,9.7040,9.7200,9.7200,260866,0.0000,1.0000
2018-07-13,9.8700,9.9360,9.6840,9.8160,9.8160,267797,0.0000,1.0000
2018-07-12,10.2500,10.3800,9.7140,9.7400,9.7400,775130,0.0000,1.0000
