timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-07,295.0000,300.5000,294.0000,298.0000,298.0000,2623,0.0000,1.0000
2018-08-06,283.5000,294.0000,283.5000,292.5000,292.5000,4257,0.0000,1.0000
2018-08-03,278.5000,284.5000,278.5000,281.0000,281.0000,2514,0.0000,1.0000
2018-08-02,281.0000,281.0000,276.5000,278.0000,278.0000,3739,0.0000,1.0000
2018-08-01,276.5000,281.0000,276.5000,279.5000,279.5000,4217,0.0000,1.0000
2018-07-31,289.5000,289.5000,278.5000,278.5000,278.5000,4823,0.0000,1.0000
2018-07-30,295.0000,295.0000,288.5000,290.0000,290.0000,1648,0.0000,1.0000
2018-07-27,297.0000,300.5000,294.0000,296.0000,296.0000,1838,0.0000,1.0000
2018-07-26,290.5000,303.0000,290.5000,297.5000,297.5000,7427,0.0000,1.0000
2018-07-25,293.5000,293.5000,290.5000,292.5000,292.5000,1606,0.0000,1.0000
2018-07-24,288.5000,293.0000,287.0000,292.5000,292.5000,1722,0.0000,1.0000
2018-07-23,285.5000,291.0000,285.0000,287.5000,287.5000,1991,0.0000,1.0000
2018-07-20,292.5000,296.0000,287.5000,287.5000,287.5000,4192,0.0000,1.0000
2018-07-19,295.5000,295.5000,289.5000,294.5000,294.5000,1551,0.0000,1.0000
2018-07-18,285.0000,294.0000,285.0000,294.0000,294.0000,2743,0.0000,1.0000
2018-07-17,282.0000,286.0000,282.0000,284.5000,284.5000,1640,0.0000,1.0000
2018-07-16,287.0000,287.0000,282.5000,283.5000,283.5000,1079,0.0000,1.0000
2018-07-13,286.0000,288.5000,285.0000,286.0000,286.0000,1784,0.0000,1.0000
2018-07-12,284.5000,286.5000,283.0000,285.5000,285.5000,3975,0.0000,1.0000
2018-07-11,283.0000,283.0000,276.0000,282.5000,282.5000,4470,0.0000,1.0000
2018-07-10,282.0000,285.0000,279.5000,285.0000,285.0000,2104,0.0000,1.0000
2018-07-09,283.0000,286.0000,280.0000,281.5000,281.5000,2257,0.0000,1.0000
2018-07-06,281.0000,283.5000,279.0000,283.0000,283.0000,1820,0.0000,1.0000
2018-07-05,277.0000,283.0000,276.5000,279.5000,279.5000,2963,0.0000,1.0000
2018-07-04,287.5000,287.5000,276.5000,277.0000,277.0000,2267,0.0000,1.0000
2018-07-03,288.0000,293.0000,284.0000,286.5000,286.5000,7709,0.0000,1.0000
2018-07-02,277.0000,286.0000,273.5000,286.0000,286.0000,12355,0.0000,1.0000
2018-06-29,271.0000,278.0000,270.5000,276.5000,276.5000,4723,0.0000,1.0000
2018-06-28,280.0000,283.0000,261.5000,270.0000,270.0000,7382,0.0000,1.0000
2018-06-27,275.5000,281.5000,271.5000,280.0000,280.0000,4236,0.0000,1.0000
2018-06-26,277.5000,280.5000,274.0000,276.5000,276.5000,3914,0.0000,1.0000
2018-06-25,283.0000,284.0000,276.0000,276.5000,276.5000,2780,0.0000,1.0000
2018-06-22,286.5000,290.0000,283.5000,284.5000,284.5000,2611,0.0000,1.0000
2018-06-21,287.5000,287.5000,280.5000,285.5000,285.5000,3613,0.0000,1.0000
2018-06-20,281.5000,286.5000,280.5000,286.5000,286.5000,2209,0.0000,1.0000
2018-06-19,283.5000,285.0000,279.0000,279.5000,279.5000,4888,0.0000,1.0000
2018-06-18,288.0000,288.0000,284.0000,286.0000,286.0000,2031,0.0000,1.0000
2018-06-15,294.0000,295.5000,289.0000,289.0000,289.0000,6630,0.0000,1.0000
2018-06-14,290.0000,294.5000,286.5000,293.5000,293.5000,4332,0.0000,1.0000
2018-06-13,285.5000,289.5000,284.5000,289.0000,289.0000,2845,0.0000,1.0000
2018-06-12,287.0000,291.0000,285.5000,287.5000,287.5000,3007,0.0000,1.0000
2018-06-11,281.5000,285.5000,279.5000,285.0000,285.0000,3376,0.0000,1.0000
2018-06-08,272.0000,281.0000,268.5000,281.0000,281.0000,3025,0.0000,1.0000
2018-06-07,284.5000,285.5000,274.5000,274.5000,274.5000,4807,0.0000,1.0000
2018-06-06,274.5000,287.0000,273.5000,283.0000,283.0000,5413,0.0000,1.0000
2018-06-05,273.5000,281.5000,273.0000,274.5000,274.5000,12311,0.0000,1.0000
2018-06-04,271.5000,273.5000,265.0000,273.5000,273.5000,3274,0.0000,1.0000
