timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,3.6500,3.6520,3.5730,3.5830,3.5830,3119709,0.0000,1.0000
2018-08-30,3.7310,3.7450,3.6320,3.6540,3.6540,2488249,0.0000,1.0000
2018-08-29,3.6980,3.7570,3.6970,3.7400,3.7400,1614219,0.0000,1.0000
2018-08-28,3.7190,3.7310,3.6830,3.7000,3.7000,1641700,0.0000,1.0000
2018-08-27,3.6990,3.7150,3.6790,3.7120,3.7120,842689,0.0000,1.0000
2018-08-24,3.6790,3.6920,3.6550,3.6750,3.6750,1449111,0.0000,1.0000
2018-08-23,3.6920,3.7030,3.6490,3.6780,3.6780,1587013,0.0000,1.0000
2018-08-22,3.6600,3.7050,3.6500,3.6800,3.6800,2319025,0.0000,1.0000
2018-08-21,3.6110,3.6830,3.6020,3.6670,3.6670,1765228,0.0000,1.0000
2018-08-20,3.6000,3.6390,3.5720,3.6180,3.6180,1372666,0.0000,1.0000
2018-08-17,3.6180,3.6780,3.5720,3.5850,3.5850,1819278,0.0000,1.0000
2018-08-16,3.6190,3.6230,3.5890,3.6230,3.6230,1424332,0.0000,1.0000
2018-08-15,3.6430,3.6600,3.5780,3.6180,3.6180,1877789,0.0000,1.0000
2018-08-14,3.6320,3.6460,3.6110,3.6220,3.6220,1491887,0.0000,1.0000
2018-08-13,3.6200,3.6650,3.6010,3.6330,3.6330,1511486,0.0000,1.0000
2018-08-10,3.7100,3.7100,3.6080,3.6180,3.6180,1749628,0.0000,1.0000
2018-08-09,3.6990,3.7280,3.6700,3.7140,3.7140,1788408,0.0000,1.0000
2018-08-08,3.6510,3.7130,3.6280,3.6930,3.6930,2476180,0.0000,1.0000
2018-08-07,3.7500,3.7500,3.6430,3.6550,3.6550,3535294,0.0000,1.0000
2018-08-06,3.7910,3.8070,3.7620,3.8020,3.8020,2010724,0.0000,1.0000
2018-08-03,3.7190,3.7960,3.7070,3.7850,3.7850,2649745,0.0000,1.0000
2018-08-02,3.7400,3.7520,3.7090,3.7090,3.7090,2890638,0.0000,1.0000
2018-08-01,3.7510,3.7570,3.7130,3.7430,3.7430,2691625,0.0000,1.0000
2018-07-31,3.7820,3.8000,3.7360,3.7470,3.7470,2769380,0.0000,1.0000
2018-07-30,3.7970,3.8060,3.7590,3.7920,3.7920,2372601,0.0000,1.0000
2018-07-27,3.7110,3.8130,3.6990,3.8130,3.8130,3851742,0.0000,1.0000
2018-07-26,3.9230,3.9450,3.6660,3.6820,3.6820,6771660,0.0000,1.0000
2018-07-25,3.6900,3.9930,3.6690,3.8970,3.8970,9329526,0.0000,1.0000
2018-07-24,3.6170,3.6420,3.6010,3.6060,3.6060,1565189,0.0000,1.0000
2018-07-23,3.5920,3.6390,3.5810,3.6130,3.6130,1122182,0.0000,1.0000
2018-07-20,3.5770,3.6320,3.5590,3.6040,3.6040,1677640,0.0000,1.0000
2018-07-19,3.5700,3.5910,3.5470,3.5740,3.5740,1374483,0.0000,1.0000
2018-07-18,3.5660,3.6070,3.5420,3.5720,3.5720,1291466,0.0000,1.0000
2018-07-17,3.5910,3.5910,3.5010,3.5430,3.5430,2757251,0.0000,1.0000
2018-07-16,3.6120,3.6240,3.5670,3.5850,3.5850,1223694,0.0000,1.0000
2018-07-13,3.6470,3.6480,3.5940,3.6060,3.6060,2100005,0.0000,1.0000
2018-07-12,3.6230,3.6430,3.5970,3.6400,3.6400,2187689,0.0000,1.0000
2018-07-11,3.5880,3.6310,3.5780,3.6000,3.6000,2210123,0.0000,1.0000
2018-07-10,3.6010,3.6240,3.5730,3.6110,3.6110,3312514,0.0000,1.0000
2018-07-09,3.6290,3.6340,3.5750,3.5990,3.5990,2714803,0.0000,1.0000
2018-07-06,3.5650,3.6230,3.5550,3.6060,3.6060,3213025,0.0000,1.0000
2018-07-05,3.5300,3.5620,3.4980,3.5540,3.5540,3183939,0.0000,1.0000
2018-07-04,3.4600,3.5550,3.4400,3.5350,3.5350,3005562,0.0000,1.0000
2018-07-03,3.4000,3.4730,3.3900,3.4610,3.4610,3344124,0.0000,1.0000
2018-07-02,3.3900,3.4160,3.3630,3.3850,3.3850,3713570,0.0000,1.0000
2018-06-29,3.3720,3.3990,3.3450,3.3760,3.3760,4969689,0.0000,1.0000
2018-06-28,3.4280,3.4510,3.3360,3.3460,3.3460,4121417,0.0000,1.0000
2018-06-27,3.4610,3.4650,3.3950,3.4470,3.4470,4395682,0.0000,1.0000
2018-06-26,3.5050,3.5170,3.4620,3.4620,3.4620,2809192,0.0000,1.0000
2018-06-25,3.4750,3.5140,3.4750,3.4930,3.4930,2548459,0.0000,1.0000
