timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-31,133.9000,135.6000,133.8000,135.3000,135.3000,16405,0.0000,1.0000
2018-08-30,135.1000,135.6000,133.3000,135.2000,135.2000,10138,0.0000,1.0000
2018-08-29,134.6000,136.1000,134.6000,135.1000,135.1000,11535,0.0000,1.0000
2018-08-28,135.0000,135.9000,134.2000,134.8000,134.8000,10918,0.0000,1.0000
2018-08-27,132.9000,135.0000,131.4000,134.8000,134.8000,24881,0.0000,1.0000
2018-08-24,132.7000,133.6000,131.5000,132.5000,132.5000,18947,0.0000,1.0000
2018-08-23,130.0000,132.7000,130.0000,131.9000,131.9000,24333,0.0000,1.0000
2018-08-22,129.9000,131.7000,129.2000,130.3000,130.3000,20580,0.0000,1.0000
2018-08-21,128.1000,129.7000,127.8000,129.7000,129.7000,17109,0.0000,1.0000
2018-08-20,128.2000,129.5000,127.7000,128.7000,128.7000,20315,0.0000,1.0000
2018-08-17,129.0000,129.0000,126.2000,127.7000,127.7000,26915,0.0000,1.0000
2018-08-16,126.1000,129.2000,126.1000,128.8000,128.8000,28271,0.0000,1.0000
2018-08-15,126.9000,127.4000,124.7000,126.0000,126.0000,34590,0.0000,1.0000
2018-08-14,127.5000,127.5000,125.8000,127.0000,127.0000,19451,0.0000,1.0000
2018-08-13,127.5000,127.8000,126.4000,127.0000,127.0000,13855,0.0000,1.0000
2018-08-10,129.6000,129.7000,126.2000,128.8000,128.8000,27669,0.0000,1.0000
2018-08-09,128.6000,129.9000,128.0000,129.7000,129.7000,22126,0.0000,1.0000
2018-08-08,127.2000,129.5000,126.3000,128.5000,128.5000,16189,0.0000,1.0000
2018-08-07,127.9000,129.3000,126.4000,127.0000,127.0000,26119,0.0000,1.0000
2018-08-06,132.0000,132.0000,126.8000,127.6000,127.6000,47627,0.0000,1.0000
2018-08-03,130.8000,134.0000,129.1000,131.1000,131.1000,34563,0.0000,1.0000
2018-08-02,136.0000,136.0000,122.5000,130.0000,130.0000,140382,0.0000,1.0000
2018-08-01,140.5000,141.5000,136.5000,136.6000,136.6000,29427,0.0000,1.0000
2018-07-31,139.7000,141.2000,137.7000,140.4000,140.4000,20402,0.0000,1.0000
2018-07-30,139.9000,140.5000,138.5000,139.3000,139.3000,12359,0.0000,1.0000
