timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-07,35.1800,35.4200,34.3400,34.5800,34.5800,30981,0.0000,1.0000
2018-08-06,35.5400,35.6200,34.5200,35.1200,35.1200,79933,0.0000,1.0000
2018-08-03,34.9800,36.4600,34.9800,35.6000,35.6000,73268,0.0000,1.0000
2018-08-02,34.0000,34.8400,33.2800,34.7400,34.7400,57685,0.0000,1.0000
2018-08-01,36.4400,36.5400,32.9200,34.1600,34.1600,181114,0.0000,1.0000
2018-07-31,34.9600,36.1800,34.3400,36.1200,36.1200,82387,0.0000,1.0000
2018-07-30,35.7200,35.9000,34.5200,34.6600,34.6600,50318,0.0000,1.0000
2018-07-27,35.5800,36.9000,34.9000,35.6200,35.6200,113145,0.0000,1.0000
2018-07-26,33.8600,35.6800,33.7000,35.4400,35.4400,115573,0.0000,1.0000
2018-07-25,34.2000,35.2800,33.3600,33.4200,33.4200,91725,0.0000,1.0000
2018-07-24,32.8000,34.7000,32.8000,34.2600,34.2600,111408,0.0000,1.0000
2018-07-23,32.4800,33.1800,31.9200,32.5000,32.5000,55371,0.0000,1.0000
2018-07-20,33.4400,33.5800,31.5000,32.5400,32.5400,148755,0.0000,1.0000
2018-07-19,33.5200,33.9000,33.0000,33.4000,33.4000,46057,0.0000,1.0000
2018-07-18,33.8800,34.4600,33.0000,33.4000,33.4000,70453,0.0000,1.0000
2018-07-17,33.7400,33.9200,32.6200,33.6600,33.6600,57435,0.0000,1.0000
2018-07-16,33.5000,34.3400,33.2200,33.5400,33.5400,55990,0.0000,1.0000
2018-07-13,33.9600,34.8600,33.2200,33.4600,33.4600,74161,0.0000,1.0000
2018-07-12,33.9400,34.5000,32.6000,33.5400,33.5400,87036,0.0000,1.0000
2018-07-11,33.8200,34.3600,33.3000,33.9000,33.9000,70206,0.0000,1.0000
2018-07-10,35.4200,35.8200,33.3800,33.8200,33.8200,99015,0.0000,1.0000
2018-07-09,34.8000,35.5200,34.5600,35.2000,35.2000,53521,0.0000,1.0000
2018-07-06,34.7600,35.1000,34.1600,34.5600,34.5600,38816,0.0000,1.0000
2018-07-05,33.9400,34.9800,33.9200,34.4400,34.4400,52045,0.0000,1.0000
2018-07-04,34.7000,34.7000,33.5000,34.0200,34.0200,57351,0.0000,1.0000
2018-07-03,34.6800,35.4800,34.1200,34.9000,34.9000,59902,0.0000,1.0000
2018-07-02,35.0800,35.5600,33.2800,34.5200,34.5200,134810,0.0000,1.0000
