timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-10,37.8950,38.0050,37.6850,37.8150,37.8150,83895,0.0000,1.0000
2018-08-09,37.8550,38.2750,37.6900,38.1950,38.1950,535705,0.0000,1.0000
2018-08-08,37.8700,38.1000,37.7000,37.8550,37.8550,491170,0.0000,1.0000
2018-08-07,38.2950,38.3850,37.8950,37.9600,37.9600,754957,0.0000,1.0000
2018-08-06,38.5600,38.7950,38.2300,38.5000,38.5000,542627,0.0000,1.0000
2018-08-03,38.2500,38.4950,37.9400,38.4600,38.4600,450430,0.0000,1.0000
2018-08-02,37.9500,38.2300,37.8000,38.1500,38.1500,643022,0.0000,1.0000
2018-08-01,38.2000,38.4450,37.9800,38.1500,38.1500,597539,0.0000,1.0000
2018-07-31,38.4850,38.6150,38.0950,38.0950,38.0950,938279,0.0000,1.0000
2018-07-30,37.7550,38.8900,37.5000,38.3750,38.3750,1223372,0.0000,1.0000
2018-07-27,39.1600,39.4500,38.8000,39.1500,39.1500,608967,0.0000,1.0000
2018-07-26,39.1300,39.4900,38.5650,39.1700,39.1700,850850,0.0000,1.0000
2018-07-25,38.4000,38.8800,38.3450,38.8500,38.8500,700184,0.0000,1.0000
2018-07-24,38.5200,38.8600,38.2100,38.4500,38.4500,643075,0.0000,1.0000
2018-07-23,37.7500,38.5000,37.6050,38.4850,38.4850,671017,0.0000,1.0000
2018-07-20,37.5050,38.0950,37.4700,37.8500,37.8500,705957,0.0000,1.0000
2018-07-19,37.9000,37.9850,37.2000,37.4700,37.4700,773244,0.0000,1.0000
2018-07-18,37.4600,38.2000,37.1650,37.8450,37.8450,891889,0.0000,1.0000
2018-07-17,37.6900,37.7450,36.9450,37.2500,37.2500,849013,0.0000,1.0000
2018-07-16,37.7400,38.1000,37.3800,37.7500,37.7500,525894,0.0000,1.0000
2018-07-13,38.0000,38.1000,37.4250,37.8150,37.8150,738885,0.0000,1.0000
2018-07-12,38.3350,39.0650,38.2850,38.6600,38.6600,888087,0.0000,1.0000
2018-07-11,37.8200,38.4100,37.6700,38.2000,38.2000,832497,0.0000,1.0000
2018-07-10,37.5000,38.2500,37.4150,38.0500,38.0500,1029256,0.0000,1.0000
2018-07-09,36.9800,37.5150,36.9450,37.4800,37.4800,767934,0.0000,1.0000
2018-07-06,36.4000,36.9100,36.2200,36.9100,36.9100,627593,0.0000,1.0000
2018-07-05,35.8000,36.3250,35.4000,36.3250,36.3250,731726,0.0000,1.0000
2018-07-04,35.5250,35.8500,34.9000,35.7100,35.7100,453499,0.0000,1.0000
2018-07-03,35.7500,35.9200,35.2300,35.4750,35.4750,670126,0.0000,1.0000
2018-07-02,35.1550,35.7050,34.5200,35.4300,35.4300,784042,0.0000,1.0000
2018-06-29,36.0400,36.1950,35.1350,35.3550,35.3550,830662,0.0000,1.0000
2018-06-28,35.4800,36.3100,35.3550,35.7000,35.7000,833574,0.0000,1.0000
2018-06-27,35.0550,36.1100,33.3300,35.4400,35.4400,1259529,0.0000,1.0000
2018-06-26,35.6400,35.8900,35.0200,35.1000,35.1000,687421,0.0000,1.0000
2018-06-25,36.9900,37.1950,34.9400,35.5500,35.5500,870736,0.0000,1.0000
2018-06-22,36.9000,36.9700,36.5300,36.9400,36.9400,632966,0.0000,1.0000
2018-06-21,36.5750,37.2850,36.5500,36.7100,36.7100,1158618,0.0000,1.0000
2018-06-20,36.4950,36.9850,36.3400,36.5550,36.5550,752896,0.0000,1.0000
2018-06-19,35.8000,36.4450,35.4650,36.2100,36.2100,643556,0.0000,1.0000
2018-06-18,36.2000,36.4000,36.0050,36.2600,36.2600,475257,0.0000,1.0000
2018-06-15,36.0500,36.3900,35.4850,36.2100,36.2100,3696328,0.0000,1.0000
2018-06-14,35.5100,36.1550,35.3350,35.8850,35.8850,750144,0.0000,1.0000
2018-06-13,36.0950,36.2900,35.2400,35.3450,35.3450,971281,0.0000,1.0000
2018-06-12,35.5600,36.0000,35.4200,36.0000,36.0000,1733863,0.0000,1.0000
2018-06-11,35.0400,35.5350,35.0400,35.5350,35.5350,636760,0.0000,1.0000
2018-06-08,35.2950,35.4750,34.6500,35.2000,35.2000,752562,0.0000,1.0000
2018-06-07,35.9000,35.9000,35.0850,35.4100,35.4100,779734,0.0000,1.0000
2018-06-06,35.5550,35.6000,34.8500,35.5000,35.5000,763650,0.0000,1.0000
