timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-07,14.8400,14.8400,14.7400,14.7400,14.7400,5770,0.0000,1.0000
2018-08-06,14.4600,14.8000,14.4600,14.6800,14.6800,23841,0.0000,1.0000
2018-08-03,14.3600,14.6600,14.3600,14.4400,14.4400,52263,0.0000,1.0000
2018-08-02,14.2800,14.3000,14.0000,14.2000,14.2000,15083,0.0000,1.0000
2018-08-01,14.3800,14.5000,13.9800,14.3000,14.3000,37911,0.0000,1.0000
2018-07-31,14.3600,14.3800,13.7800,14.3600,14.3600,66620,0.0000,1.0000
2018-07-30,14.2000,14.3800,14.0600,14.3600,14.3600,23999,0.0000,1.0000
2018-07-27,14.0000,14.3800,14.0000,14.3200,14.3200,37681,0.0000,1.0000
2018-07-26,14.4400,14.4400,13.8200,14.1000,14.1000,78017,0.0000,1.0000
2018-07-25,14.4400,14.4400,14.2000,14.4200,14.4200,31997,0.0000,1.0000
2018-07-24,13.7800,14.4800,13.6800,14.3400,14.3400,67797,0.0000,1.0000
2018-07-23,13.2000,13.9200,13.2000,13.9200,13.9200,49753,0.0000,1.0000
2018-07-20,13.0800,13.2600,12.9400,13.2000,13.2000,5609,0.0000,1.0000
2018-07-19,13.4000,13.4000,13.0200,13.1600,13.1600,42448,0.0000,1.0000
2018-07-18,12.7600,13.3000,12.7600,13.3000,13.3000,41499,0.0000,1.0000
2018-07-17,13.0000,13.0000,12.6200,12.7200,12.7200,18366,0.0000,1.0000
2018-07-16,13.0000,13.0600,12.9800,13.0000,13.0000,13746,0.0000,1.0000
2018-07-13,12.9200,13.0400,12.7800,12.9000,12.9000,15475,0.0000,1.0000
2018-07-12,13.0000,13.0000,12.7000,12.7800,12.7800,3509,0.0000,1.0000
2018-07-11,13.1600,13.1600,12.7000,12.8000,12.8000,52962,0.0000,1.0000
2018-07-10,12.6600,13.3000,12.6600,13.1000,13.1000,33997,0.0000,1.0000
2018-07-09,12.7200,12.8400,12.6000,12.6000,12.6000,16581,0.0000,1.0000
2018-07-06,12.7800,12.8800,12.6400,12.7200,12.7200,3735,0.0000,1.0000
2018-07-05,12.8000,12.8200,12.5800,12.7000,12.7000,61402,0.0000,1.0000
2018-07-04,12.7200,12.9600,12.7200,12.7800,12.7800,27510,0.0000,1.0000
2018-07-03,12.5800,12.8600,12.5400,12.7600,12.7600,18073,0.0000,1.0000
2018-07-02,12.8000,12.8000,12.3800,12.5000,12.5000,18509,0.0000,1.0000
2018-06-29,12.6000,12.9800,12.6000,12.8600,12.8600,27562,0.0000,1.0000
2018-06-28,12.8000,12.9000,12.5000,12.6000,12.6000,43183,0.0000,1.0000
2018-06-27,12.6600,12.9800,12.5400,12.9000,12.9000,49932,0.0000,1.0000
2018-06-26,12.6400,12.7200,12.4800,12.6600,12.6600,18010,0.0000,1.0000
2018-06-25,12.3600,12.7600,12.3600,12.6600,12.6600,35483,0.0000,1.0000
2018-06-22,12.4600,12.8800,12.3200,12.5400,12.5400,104747,0.0000,1.0000
2018-06-21,13.2200,13.2400,12.3400,12.5200,12.5200,160258,0.0000,1.0000
2018-06-20,13.1200,13.3800,13.0800,13.1800,13.1800,38612,0.0000,1.0000
2018-06-19,13.5400,13.5600,13.0800,13.1000,13.1000,88405,0.0000,1.0000
2018-06-18,13.8400,13.8800,13.4000,13.7000,13.7000,99158,0.0000,1.0000
2018-06-15,14.4000,14.4000,13.7800,14.0000,14.0000,16936,0.0000,1.0000
2018-06-14,13.7800,14.3000,13.7800,14.2400,14.2400,24607,0.0000,1.0000
2018-06-13,13.9000,14.0200,13.7800,13.9600,13.9600,10115,0.0000,1.0000
2018-06-12,13.9800,14.1600,13.4000,13.8000,13.8000,56868,0.0000,1.0000
2018-06-11,14.0400,14.2000,13.8400,13.9800,13.9800,21773,0.0000,1.0000
2018-06-08,14.1000,14.3000,14.0400,14.0400,14.0400,15384,0.0000,1.0000
2018-06-07,14.3000,14.7000,14.0400,14.1200,14.1200,28574,0.0000,1.0000
2018-06-06,14.2000,14.5800,14.2000,14.3200,14.3200,10325,0.0000,1.0000
2018-06-05,14.2200,14.6000,14.1200,14.1200,14.1200,49376,0.0000,1.0000
2018-06-04,14.6200,14.9200,14.1000,14.2600,14.2600,69538,0.0000,1.0000
2018-06-01,14.9600,15.0800,14.5600,14.5600,14.5600,52932,0.0000,1.0000
2018-05-31,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,1.0000
2018-05-30,14.9400,15.2800,14.8000,15.0800,15.0800,52277,0.0000,1.0000
2018-05-29,14.8000,14.9000,14.5000,14.9000,14.9000,96213,0.0000,1.0000
2018-05-28,14.3600,14.8600,14.2400,14.8200,14.8200,21133,0.0000,1.0000
2018-05-25,14.2400,14.3200,13.9600,14.2400,14.2400,14125,0.0000,1.0000
2018-05-24,14.0000,14.1600,13.8600,14.1200,14.1200,32658,0.0000,1.0000
2018-05-23,14.2200,14.2200,13.8600,13.9200,13.9200,14328,0.0000,1.0000
2018-05-22,14.2200,14.4000,14.0200,14.1800,14.1800,33225,0.0000,1.0000
2018-05-21,14.0800,14.0800,14.0800,14.0800,14.0800,0,0.0000,1.0000
2018-05-18,14.1400,14.2200,14.0000,14.0800,14.0800,8274,0.0000,1.0000
2018-05-17,13.9400,14.2400,13.9000,14.1000,14.1000,14763,0.0000,1.0000
2018-05-16,14.0000,14.1400,13.9000,13.9800,13.9800,19073,0.0000,1.0000
2018-05-15,13.9600,14.3200,13.9200,14.0000,14.0000,9325,0.0000,1.0000
2018-05-14,14.4200,14.4400,13.8600,13.9400,13.9400,54220,0.0000,1.0000
2018-05-11,14.2000,14.4400,14.0400,14.3000,14.3000,28428,0.0000,1.0000
2018-05-10,14.3200,14.3200,13.9200,14.1200,14.1200,19041,0.0000,1.0000
2018-05-09,14.2200,14.3600,14.1000,14.2600,14.2600,22323,0.0000,1.0000
2018-05-08,13.8600,14.1600,13.7800,14.0400,14.0400,31173,0.0000,1.0000
2018-05-07,13.8200,13.9600,13.8000,13.8600,13.8600,24200,0.0000,1.0000
2018-05-04,13.9000,14.1000,13.6200,13.8000,13.8000,43311,0.0000,1.0000
2018-05-03,13.5000,14.1400,13.3800,13.6400,13.6400,93713,0.0000,1.0000
2018-05-02,12.8000,13.5600,12.8000,13.5600,13.5600,52039,0.0000,1.0000
2018-04-30,12.9400,12.9400,12.7400,12.7600,12.7600,17326,0.0000,1.0000
2018-04-27,13.2000,13.2800,12.7000,12.8000,12.8000,46794,0.0000,1.0000
2018-04-26,12.7200,13.1600,12.6400,13.1600,13.1600,39053,0.0000,1.0000
2018-04-25,13.1800,13.2400,12.6000,12.7200,12.7200,58586,0.0000,1.0000
2018-04-24,13.3000,13.4000,13.1600,13.2600,13.2600,123831,0.0000,1.0000
2018-04-23,13.2200,13.7200,13.1200,13.3200,13.3200,83483,0.0000,1.0000
2018-04-20,13.3200,13.3800,13.1600,13.2200,13.2200,76274,0.0000,1.0000
2018-04-19,13.1000,13.4600,13.1000,13.3600,13.3600,102820,0.0000,1.0000
2018-04-18,12.4200,13.2200,12.4200,13.0000,13.0000,62652,0.0000,1.0000
2018-04-17,12.1800,12.5400,12.1000,12.4200,12.4200,33889,0.0000,1.0000
2018-04-16,12.4000,12.7800,12.1200,12.1200,12.1200,55823,0.0000,1.0000
2018-04-13,12.6800,12.9600,12.3800,12.3800,12.3800,69365,0.0000,1.0000
2018-04-12,12.2400,12.7400,12.1800,12.7000,12.7000,73618,0.0000,1.0000
2018-04-11,12.3000,12.6400,12.1200,12.2400,12.2400,161626,0.0000,1.0000
2018-04-10,12.0400,12.3800,12.0000,12.2000,12.2000,98449,0.0000,1.0000
2018-04-09,11.8200,12.1000,11.5000,12.0000,12.0000,90147,0.0000,1.0000
2018-04-06,12.0800,12.1200,11.7200,11.7400,11.7400,50920,0.0000,1.0000
2018-04-05,11.5000,12.3000,11.4800,12.0800,12.0800,193448,0.0000,1.0000
2018-04-04,11.6000,11.8400,11.3400,11.4200,11.4200,163483,0.0000,1.0000
2018-04-03,12.3200,12.3200,11.6000,11.6000,11.6000,162143,0.0000,1.0000
2018-03-29,12.5800,12.7000,12.2400,12.4000,12.4000,154330,0.0000,1.0000
2018-03-28,12.9800,13.1000,12.3400,12.6600,12.6600,192266,0.0000,1.0000
2018-03-27,13.6200,13.7800,12.2400,12.6400,12.6400,481581,0.0000,1.0000
2018-03-26,14.3800,14.5600,13.7200,13.8600,13.8600,54969,0.0000,1.0000
2018-03-23,14.6400,14.6400,14.1200,14.4200,14.4200,56621,0.0000,1.0000
2018-03-22,15.0000,15.1600,14.6800,14.7400,14.7400,73422,0.0000,1.0000
2018-03-21,15.3200,15.7000,15.0400,15.1000,15.1000,45545,0.0000,1.0000
2018-03-20,15.1000,15.5400,15.0000,15.3800,15.3800,43805,0.0000,1.0000
2018-03-19,15.1600,15.3600,14.9800,15.1400,15.1400,56983,0.0000,1.0000
2018-03-16,15.3000,15.3800,15.0200,15.2000,15.2000,79631,0.0000,1.0000
2018-03-15,14.9800,15.4600,14.8600,15.3000,15.3000,70781,0.0000,1.0000
2018-03-14,14.0400,15.1200,14.0400,15.0000,15.0000,89643,0.0000,1.0000
2018-03-13,14.7200,14.7400,14.0600,14.0600,14.0600,46853,0.0000,1.0000
2018-03-12,14.8200,14.8800,14.5600,14.6800,14.6800,20901,0.0000,1.0000
2018-03-09,14.1000,14.8000,14.1000,14.6800,14.6800,71511,0.0000,1.0000
2018-03-08,14.3400,14.3400,13.7400,14.0600,14.0600,76362,0.0000,1.0000
2018-03-07,13.8800,14.3000,13.8800,14.2600,14.2600,66329,0.0000,1.0000
2018-03-06,14.2000,14.2800,13.8000,13.8400,13.8400,60530,0.0000,1.0000
2018-03-05,13.7200,14.4000,13.7200,14.1000,14.1000,47221,0.0000,1.0000
2018-03-02,14.0000,14.0800,13.6200,13.9600,13.9600,130628,0.0000,1.0000
2018-03-01,14.6800,14.7200,13.7800,14.1400,14.1400,129884,0.0000,1.0000
2018-02-28,14.5400,14.9200,14.3200,14.9200,14.9200,107933,0.0000,1.0000
2018-02-27,14.9200,14.9600,14.6000,14.6000,14.6000,38827,0.0000,1.0000
2018-02-26,15.2400,15.8200,14.8000,14.8000,14.8000,49288,0.0000,1.0000
2018-02-23,15.1000,15.2800,14.9600,15.2200,15.2200,29706,0.0000,1.0000
2018-02-22,15.1200,15.3000,14.7000,15.0400,15.0400,101886,0.0000,1.0000
2018-02-21,15.9200,15.9800,15.1400,15.2400,15.2400,62195,0.0000,1.0000
2018-02-20,15.4600,15.7600,15.2400,15.7200,15.7200,33877,0.0000,1.0000
2018-02-19,15.2400,15.4800,15.1800,15.4000,15.4000,65456,0.0000,1.0000
2018-02-16,15.1800,15.3200,15.0400,15.2200,15.2200,54272,0.0000,1.0000
2018-02-15,15.0800,15.3800,14.9200,14.9800,14.9800,77301,0.0000,1.0000
2018-02-14,14.4800,15.0200,14.3000,14.9000,14.9000,73486,0.0000,1.0000
